Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Code Size,Completed Work Items,Lock Contentions,Exceptions
Add,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,64,"548,684.76 ns","10,509.424 ns","12,510.722 ns","2,730.063 ns","525,472.27 ns","541,172.17 ns","550,701.86 ns","556,479.30 ns","571,157.52 ns","1,822.54","-1,354.5317 ns",21.00,1.901,2.000,-0.1841,34,*,No,"17,908 B",0.0000,0.0000,0.0000
Add,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,128,"1,077,855.68 ns","19,312.587 ns","21,465.889 ns","4,924.613 ns","1,032,263.28 ns","1,065,853.81 ns","1,080,013.09 ns","1,089,074.51 ns","1,121,507.42 ns",927.77,"-2,452.8063 ns",19.00,3.041,2.000,-0.4572,36,*,No,"17,955 B",0.0000,0.0000,0.0000
Add,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,256,"2,046,017.36 ns","38,470.569 ns","41,163.078 ns","9,702.231 ns","1,981,836.33 ns","2,013,763.87 ns","2,039,084.77 ns","2,075,877.34 ns","2,116,791.80 ns",488.75,"-4,842.1153 ns",18.00,1.687,2.000,0.1918,38,*,No,"18,858 B",0.0000,0.0000,0.0000
Add,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,512,"4,213,450.39 ns","82,952.680 ns","138,595.304 ns","23,099.217 ns","4,019,774.22 ns","4,106,624.22 ns","4,179,471.09 ns","4,293,810.94 ns","4,534,774.22 ns",237.34,"-11,531.6087 ns",36.00,2.385,2.000,0.6914,39,*,No,"18,879 B",0.0000,0.0000,0.0000
Add,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,1024,"8,341,976.38 ns","162,774.720 ns","217,299.594 ns","43,459.919 ns","8,034,128.12 ns","8,174,671.88 ns","8,267,090.62 ns","8,536,784.38 ns","8,875,865.62 ns",119.88,"-21,717.4594 ns",25.00,2.282,2.000,0.5137,40,*,No,"18,507 B",0.0000,0.0000,0.0000
Add,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,2048,"17,342,728.49 ns","342,395.001 ns","552,904.149 ns","94,822.279 ns","16,487,331.25 ns","16,814,726.56 ns","17,339,034.38 ns","17,787,660.94 ns","18,288,503.12 ns",57.66,"-47,394.1396 ns",34.00,1.546,3.600,0.1951,41,*,No,"18,827 B",0.0000,0.0000,0.0000
Add,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,4096,"34,816,518.46 ns","686,326.784 ns","1,202,046.093 ns","192,481.422 ns","33,429,280.00 ns","33,844,803.33 ns","34,619,920.00 ns","35,596,810.00 ns","38,053,973.33 ns",28.72,"-96,221.2109 ns",39.00,2.833,2.000,0.9140,43,*,No,"18,338 B",0.0000,0.0000,0.0000
Add,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,8192,"64,735,941.35 ns","429,467.647 ns","358,624.936 ns","99,464.661 ns","63,833,700.00 ns","64,708,962.50 ns","64,823,637.50 ns","64,997,912.50 ns","65,157,975.00 ns",15.45,"-49,725.8306 ns",13.00,3.649,2.000,-1.2268,44,*,No,"18,262 B",0.0000,0.0000,0.0000
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,64,"544,954.65 ns","10,732.632 ns","13,573.344 ns","2,830.238 ns","522,058.01 ns","533,076.46 ns","551,219.43 ns","554,878.42 ns","567,078.03 ns","1,835.02","-1,403.6190 ns",23.00,1.527,2.000,-0.1603,34,*,No,NA,0.0000,0.0000,0.0000
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,128,"1,099,642.69 ns","21,775.872 ns","22,362.218 ns","5,423.634 ns","1,038,198.05 ns","1,092,575.98 ns","1,100,431.64 ns","1,117,725.78 ns","1,130,740.82 ns",909.39,"-2,703.3172 ns",17.00,3.924,2.000,-1.0012,36,*,No,NA,0.0000,0.0000,0.0000
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,256,"2,172,394.64 ns","40,080.515 ns","37,491.339 ns","9,680.222 ns","2,114,040.23 ns","2,135,440.23 ns","2,182,551.56 ns","2,192,305.08 ns","2,247,304.69 ns",460.32,"-4,832.6110 ns",15.00,1.979,2.000,0.1118,38,*,No,NA,0.0000,0.0000,0.0000
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,512,"4,193,547.93 ns","83,697.689 ns","85,951.365 ns","20,846.268 ns","4,029,988.28 ns","4,133,819.53 ns","4,187,133.59 ns","4,273,542.97 ns","4,298,616.41 ns",238.46,"-10,414.6340 ns",17.00,1.583,2.000,-0.2590,39,*,No,NA,0.0000,0.0000,0.0000
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,1024,"8,516,758.75 ns","165,024.213 ns","220,302.602 ns","44,060.520 ns","8,221,590.62 ns","8,351,518.75 ns","8,479,256.25 ns","8,633,221.88 ns","8,935,137.50 ns",117.42,"-22,017.7602 ns",25.00,1.910,2.000,0.4046,40,*,No,NA,0.0000,0.0000,0.0000
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,2048,"17,286,366.95 ns","338,518.150 ns","536,925.702 ns","93,466.768 ns","16,557,609.38 ns","16,775,262.50 ns","17,447,987.50 ns","17,605,268.75 ns","18,327,862.50 ns",57.85,"-46,716.8838 ns",33.00,1.872,2.000,0.2992,41,*,No,NA,0.0000,0.0000,0.0000
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,4096,"35,011,775.44 ns","665,048.905 ns","739,200.096 ns","169,584.133 ns","34,028,906.67 ns","34,555,750.00 ns","34,860,726.67 ns","35,399,630.00 ns","36,521,046.67 ns",28.56,"-84,782.5663 ns",19.00,2.129,2.000,0.5037,43,*,No,NA,0.0000,0.0000,0.0000
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,8192,"65,288,944.23 ns","297,820.515 ns","248,693.619 ns","68,975.200 ns","64,861,887.50 ns","65,106,612.50 ns","65,290,462.50 ns","65,487,725.00 ns","65,680,775.00 ns",15.32,"-34,481.0998 ns",13.00,1.768,2.000,-0.0078,44,*,No,NA,0.0000,0.0000,0.0000
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,64,"504,323.13 ns","2,770.495 ns","2,313.489 ns",641.646 ns,"500,773.00 ns","502,710.79 ns","504,043.31 ns","505,472.80 ns","508,095.65 ns","1,982.86",-314.3231 ns,13.00,1.758,2.000,0.3049,33,*,No,NA,0.0000,0.0000,0.0000
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,128,"1,045,025.86 ns","8,834.226 ns","8,263.541 ns","2,133.637 ns","1,027,767.58 ns","1,038,928.91 ns","1,044,763.09 ns","1,053,128.71 ns","1,055,276.95 ns",956.91,"-1,059.3185 ns",15.00,1.992,2.000,-0.4317,36,*,No,NA,0.0000,0.0000,0.0000
