Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Code Size,Exceptions
'CopyTo with index and count(half)',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,64,159.446 ns,3.1843 ns,5.5770 ns,0.8930 ns,156.595 ns,152.927 ns,154.620 ns,164.064 ns,171.767 ns,"6,271,707.65",19.0535 ns,39.00,1.742,3.100,0.4214,14,*,No,441 B,0.0000
'CopyTo with index and count(half)',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,128,304.432 ns,6.0596 ns,10.7708 ns,1.7030 ns,307.236 ns,283.969 ns,292.836 ns,312.893 ns,321.487 ns,"3,284,806.88",19.1485 ns,40.00,1.599,3.375,-0.2174,17,*,No,445 B,0.0000
'CopyTo with index and count(half)',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,256,572.647 ns,11.3569 ns,28.4922 ns,3.3122 ns,581.359 ns,533.453 ns,545.131 ns,593.613 ns,624.458 ns,"1,746,275.43",35.3439 ns,74.00,1.520,3.714,0.1255,20,*,No,433 B,0.0000
'CopyTo with index and count(half)',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,512,"1,242.186 ns",24.7457 ns,53.7951 ns,7.1253 ns,"1,251.747 ns","1,150.459 ns","1,184.465 ns","1,286.455 ns","1,329.823 ns","805,032.14",24.9373 ns,57.00,1.563,3.778,-0.1910,25,*,No,439 B,0.0000
'CopyTo with index and count(half)',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,1024,"2,257.711 ns",44.9592 ns,113.6176 ns,13.1194 ns,"2,278.672 ns","2,074.269 ns","2,138.865 ns","2,347.476 ns","2,526.144 ns","442,926.45",30.9403 ns,75.00,1.778,3.500,-0.0313,28,*,No,433 B,0.0000
'CopyTo with index and count(half)',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,2048,"4,759.148 ns",94.8792 ns,218.0008 ns,27.4655 ns,"4,795.578 ns","4,377.329 ns","4,544.738 ns","4,938.485 ns","5,113.253 ns","210,121.63",17.7672 ns,63.00,1.603,3.800,-0.1326,31,*,No,427 B,0.0000
'CopyTo with index and count(half)',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,4096,"8,859.804 ns",167.1142 ns,288.2637 ns,46.7626 ns,"8,754.406 ns","8,539.178 ns","8,652.657 ns","9,010.832 ns","9,530.863 ns","112,869.32",-4.3813 ns,38.00,2.827,2.000,1.0347,32,*,No,427 B,0.0000
'CopyTo with index and count(half)',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,8192,"22,878.200 ns",443.5684 ns,592.1511 ns,118.4302 ns,"22,771.121 ns","22,005.713 ns","22,407.974 ns","23,290.601 ns","24,018.024 ns","43,709.73",-46.7151 ns,25.00,1.978,2.000,0.4729,36,*,No,427 B,0.0000
'CopyTo with index',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,64,248.042 ns,4.2436 ns,3.7618 ns,1.0054 ns,248.178 ns,236.986 ns,247.174 ns,250.342 ns,252.422 ns,"4,031,582.31",6.4973 ns,14.00,5.575,2.000,-1.6094,15,*,No,432 B,0.0000
'CopyTo with index',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,128,461.362 ns,9.0647 ns,11.1322 ns,2.3734 ns,461.003 ns,446.947 ns,450.090 ns,471.744 ns,477.582 ns,"2,167,497.12",9.8133 ns,22.00,1.237,3.636,0.0852,18,*,No,440 B,0.0000
