Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Code Size,Exceptions
'If: should=false (passthrough)',Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,64,"28,362.5 ns","3,286.7 ns","9,052.4 ns",965.0 ns,"28,700.0 ns","13,800.0 ns","20,700.0 ns","33,275.0 ns","54,600.0 ns","35,257.8",-438.50 ns,88.00,3.233,2.667,0.4718,3,*,No,"1,251 B",0.0000
'If: should=false (passthrough)',Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,128,"22,156.2 ns","2,644.3 ns","7,629.3 ns",778.7 ns,"19,800.0 ns","10,800.0 ns","16,500.0 ns","27,250.0 ns","40,000.0 ns","45,134.0",-341.33 ns,96.00,2.312,3.000,0.7613,3,*,No,"1,408 B",0.0000
'If: should=false (passthrough)',Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,256,"29,242.7 ns","3,437.9 ns","9,919.0 ns","1,012.4 ns","30,950.0 ns","13,000.0 ns","20,800.0 ns","35,900.0 ns","51,500.0 ns","34,196.6",-458.18 ns,96.00,2.028,3.905,0.2328,3,*,No,"1,249 B",0.0000
'If: should=false (passthrough)',Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,512,"31,217.0 ns","3,087.8 ns","8,958.1 ns",909.6 ns,"33,550.0 ns","11,550.0 ns","22,550.0 ns","36,750.0 ns","54,450.0 ns","32,033.8",-406.28 ns,97.00,2.909,3.163,0.2530,3,*,No,"1,249 B",0.0000
'If: should=false (passthrough)',Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,1024,"21,986.7 ns","3,930.1 ns","11,464.3 ns","1,158.1 ns","21,350.0 ns","3,050.0 ns","11,550.0 ns","29,175.0 ns","52,350.0 ns","45,482.0",-530.03 ns,98.00,2.406,3.714,0.3973,3,*,No,592 B,0.0000
'If: should=false (passthrough)',Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,2048,"16,684.0 ns","3,609.3 ns","10,642.0 ns","1,064.2 ns","13,900.0 ns","2,900.0 ns","7,150.0 ns","25,425.0 ns","52,200.0 ns","59,937.7",-482.10 ns,100.00,2.875,2.743,0.7328,2,*,No,592 B,0.0000
'If: should=false (passthrough)',Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,4096,"14,268.0 ns","3,344.6 ns","9,861.7 ns",986.2 ns,"9,750.0 ns","3,900.0 ns","5,000.0 ns","23,325.0 ns","44,000.0 ns","70,086.9",-443.09 ns,100.00,2.380,3.306,0.6265,2,*,No,588 B,0.0000
'If: should=false (passthrough)',Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,8192,"5,610.9 ns",818.6 ns,"2,241.0 ns",240.3 ns,"6,450.0 ns","2,450.0 ns","3,350.0 ns","7,300.0 ns","11,950.0 ns","178,223.9",-76.63 ns,87.00,2.333,3.543,0.2819,1,*,No,592 B,0.0000
'If: should=true (multiple transforms)',Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,64,"39,493.6 ns","3,273.0 ns","9,338.2 ns",963.2 ns,"38,300.0 ns","22,700.0 ns","33,300.0 ns","44,675.0 ns","63,800.0 ns","25,320.5",-434.58 ns,94.00,2.911,4.000,0.5395,3,*,No,"1,469 B",0.0000
'If: should=true (multiple transforms)',Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,128,"33,260.2 ns","2,981.2 ns","8,457.1 ns",877.0 ns,"33,200.0 ns","11,700.0 ns","27,600.0 ns","36,900.0 ns","52,400.0 ns","30,066.0",-391.98 ns,93.00,2.838,3.200,0.2852,3,*,No,"1,412 B",0.0000
'If: should=true (multiple transforms)',Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,256,"45,464.5 ns","3,312.1 ns","9,395.8 ns",974.3 ns,"46,300.0 ns","24,000.0 ns","39,000.0 ns","51,200.0 ns","71,400.0 ns","21,995.2",-440.65 ns,93.00,3.007,2.357,0.0391,3,*,No,"1,279 B",0.0000
'If: should=true (multiple transforms)',Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,512,"43,978.6 ns","3,958.9 ns","11,548.4 ns","1,166.6 ns","45,850.0 ns","12,600.0 ns","35,300.0 ns","51,800.0 ns","72,800.0 ns","22,738.3",-534.28 ns,98.00,2.952,3.000,-0.1790,3,*,No,"1,279 B",0.0000
'If: should=true (multiple transforms)',Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,1024,"28,728.8 ns","4,187.2 ns","12,280.4 ns","1,234.2 ns","32,250.0 ns","4,050.0 ns","21,350.0 ns","37,450.0 ns","54,150.0 ns","34,808.3",-567.61 ns,99.00,2.432,2.270,-0.5835,3,*,No,"1,648 B",0.0000
