Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Exceptions,Code Size
'PickRandom: Record',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,64,74.67 ns,0.332 ns,0.294 ns,0.079 ns,74.83 ns,74.08 ns,74.46 ns,74.88 ns,74.99 ns,"13,392,059.1",6.961 ns,14.00,1.883,2.000,-0.6149,2,*,No,0.0000,885 B
'PickRandom: Record',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,128,73.48 ns,0.800 ns,0.709 ns,0.190 ns,73.41 ns,72.37 ns,73.07 ns,73.95 ns,74.63 ns,"13,609,026.3",6.905 ns,14.00,1.858,2.000,0.1613,2,*,No,0.0000,872 B
'PickRandom: Record',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,256,73.33 ns,0.795 ns,0.744 ns,0.192 ns,73.31 ns,72.22 ns,72.83 ns,73.69 ns,74.56 ns,"13,637,620.5",7.404 ns,15.00,1.842,2.000,0.1146,2,*,No,0.0000,872 B
'PickRandom: Record',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,512,74.23 ns,0.967 ns,0.858 ns,0.229 ns,74.24 ns,73.22 ns,73.47 ns,74.74 ns,76.08 ns,"13,472,488.9",6.885 ns,14.00,2.111,2.000,0.4329,2,*,No,0.0000,872 B
'PickRandom: Record',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,1024,73.27 ns,0.594 ns,0.496 ns,0.138 ns,73.31 ns,72.52 ns,72.80 ns,73.66 ns,73.93 ns,"13,647,304.7",6.431 ns,13.00,1.410,2.000,-0.2929,2,*,No,0.0000,872 B
'PickRandom: Record',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,2048,72.85 ns,0.508 ns,0.450 ns,0.120 ns,72.93 ns,72.09 ns,72.52 ns,73.14 ns,73.63 ns,"13,727,062.5",6.940 ns,14.00,1.813,2.000,-0.1341,2,*,No,0.0000,885 B
'PickRandom: Record',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,4096,74.38 ns,0.579 ns,0.542 ns,0.140 ns,74.36 ns,73.51 ns,74.02 ns,74.65 ns,75.41 ns,"13,444,875.2",7.430 ns,15.00,2.150,2.000,0.3134,2,*,No,0.0000,885 B
'PickRandom: Record',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,8192,72.98 ns,0.342 ns,0.286 ns,0.079 ns,73.01 ns,72.54 ns,72.70 ns,73.15 ns,73.38 ns,"13,701,942.4",6.460 ns,13.00,1.462,2.000,-0.0007,2,*,No,0.0000,876 B
'PickRandom: Ref',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,64,73.18 ns,0.494 ns,0.386 ns,0.111 ns,73.13 ns,72.60 ns,72.92 ns,73.38 ns,74.07 ns,"13,665,806.9",5.944 ns,12.00,3.010,2.000,0.7725,2,*,No,0.0000,885 B
'PickRandom: Ref',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,128,73.25 ns,0.603 ns,0.535 ns,0.143 ns,73.10 ns,72.68 ns,72.89 ns,73.54 ns,74.66 ns,"13,652,442.6",6.929 ns,14.00,3.775,2.000,1.2084,2,*,No,0.0000,872 B
