Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Exceptions,Code Size
AppInfo,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2.0717 ns,0.0127 ns,0.0119 ns,0.0031 ns,2.0502 ns,2.0657 ns,2.0717 ns,2.0785 ns,2.0955 ns,"482,689,238.1",7.498 ns,15.00,2.353,2.000,0.0079,3,*,No,0.0000,356 B
CurrentCulture,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2.5485 ns,0.0388 ns,0.0344 ns,0.0092 ns,2.5046 ns,2.5239 ns,2.5386 ns,2.5674 ns,2.6348 ns,"392,385,713.9",6.995 ns,14.00,3.242,2.000,0.9454,4,*,No,0.0000,345 B
CurrentThreadId,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2.8550 ns,0.0081 ns,0.0076 ns,0.0020 ns,2.8451 ns,2.8485 ns,2.8536 ns,2.8620 ns,2.8670 ns,"350,264,254.1",7.499 ns,15.00,1.534,2.000,0.2828,5,*,No,0.0000,335 B
CurrentUICulture,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,3.1173 ns,0.0256 ns,0.0239 ns,0.0062 ns,3.0834 ns,3.0998 ns,3.1144 ns,3.1373 ns,3.1621 ns,"320,790,369.0",7.497 ns,15.00,1.715,2.000,0.2878,6,*,No,0.0000,345 B
ExecutingFolder,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2.1503 ns,0.0096 ns,0.0090 ns,0.0023 ns,2.1395 ns,2.1425 ns,2.1480 ns,2.1582 ns,2.1671 ns,"465,050,739.1",7.499 ns,15.00,1.527,2.000,0.3060,3,*,No,0.0000,179 B
GetCultureNames,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2.0338 ns,0.0077 ns,0.0072 ns,0.0019 ns,2.0224 ns,2.0287 ns,2.0344 ns,2.0380 ns,2.0472 ns,"491,693,341.1",7.499 ns,15.00,1.905,2.000,0.1544,3,*,No,0.0000,179 B
GetEnvironmentVariables,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2.0406 ns,0.0066 ns,0.0058 ns,0.0016 ns,2.0324 ns,2.0365 ns,2.0395 ns,2.0445 ns,2.0512 ns,"490,052,902.8",6.999 ns,14.00,1.883,2.000,0.3208,3,*,No,0.0000,179 B
GetProcessorInformation,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2.0310 ns,0.0123 ns,0.0115 ns,0.0030 ns,2.0103 ns,2.0225 ns,2.0341 ns,2.0389 ns,2.0546 ns,"492,372,630.5",7.499 ns,15.00,2.195,2.000,0.0635,3,*,No,0.0000,179 B
InstalledUICulture,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2.2068 ns,0.0192 ns,0.0170 ns,0.0046 ns,2.1854 ns,2.1944 ns,2.2025 ns,2.2190 ns,2.2473 ns,"453,141,421.1",6.998 ns,14.00,2.717,2.000,0.7437,3,*,No,0.0000,137 B
IsRunning,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1.9663 ns,0.0136 ns,0.0128 ns,0.0033 ns,1.9487 ns,1.9561 ns,1.9659 ns,1.9720 ns,1.9935 ns,"508,574,279.8",7.498 ns,15.00,2.355,2.000,0.5346,3,*,No,0.0000,179 B
