Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Rank,Baseline,Code Size,Completed Work Items,Lock Contentions,Gen0,Exceptions,Gen1,Gen2,Allocated
'AddCacheItem: DataTimeOffset - IDataModel',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,64,"8,155.22 ns",51.547 ns,45.695 ns,12.212 ns,"8,073.58 ns","8,128.03 ns","8,157.60 ns","8,182.28 ns","8,230.86 ns","122,620.8",0.8938 ns,14.00,3,No,"8,324 B",0.0000,0.0000,0.4578,0.0000,0.0000,0.0000,13824 B
'AddCacheItem: DataTimeOffset - IDataModel',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,128,"16,263.08 ns",185.895 ns,173.886 ns,44.897 ns,"15,972.15 ns","16,150.09 ns","16,278.47 ns","16,375.54 ns","16,554.40 ns","61,489.0",-14.9486 ns,15.00,4,No,"8,359 B",0.0000,0.0000,0.9155,0.0000,0.0000,0.0000,27648 B
'AddCacheItem: DataTimeOffset - IDataModel',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,256,"34,671.15 ns",163.195 ns,136.275 ns,37.796 ns,"34,466.06 ns","34,534.98 ns","34,679.89 ns","34,777.21 ns","34,884.07 ns","28,842.4",-12.3980 ns,13.00,6,No,"8,356 B",0.0000,0.0000,1.9531,0.0000,0.1221,0.1221,55296 B
'AddCacheItem: DataTimeOffset - IDataModel',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,512,"74,147.40 ns",437.262 ns,387.621 ns,103.596 ns,"73,450.12 ns","73,915.87 ns","74,107.43 ns","74,368.32 ns","74,819.90 ns","13,486.6",-44.7980 ns,14.00,9,No,"8,378 B",0.0000,0.0000,0.9766,0.0000,0.0000,0.0000,110592 B
'AddCacheItem: DataTimeOffset - IDataModel',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,1024,"153,805.57 ns","1,135.718 ns","1,062.351 ns",274.298 ns,"152,420.37 ns","153,113.51 ns","153,397.20 ns","154,319.81 ns","155,870.74 ns","6,501.7",-129.6490 ns,15.00,11,No,"8,248 B",0.0000,0.0000,1.7090,0.0000,0.0000,0.0000,221184 B
'AddCacheItem: DataTimeOffset - IDataModel',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,2048,"301,414.88 ns","1,567.985 ns","1,389.978 ns",371.487 ns,"299,585.42 ns","300,684.90 ns","301,060.64 ns","302,082.78 ns","304,830.15 ns","3,317.7",-178.7436 ns,14.00,13,No,"8,378 B",0.0000,0.0000,3.4180,0.0000,0.0000,0.0000,442368 B
'AddCacheItem: DataTimeOffset - IDataModel',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,4096,"682,190.70 ns","3,887.713 ns","3,636.570 ns",938.958 ns,"677,297.75 ns","679,571.39 ns","681,200.59 ns","684,768.60 ns","688,627.15 ns","1,465.9",-461.9791 ns,15.00,17,No,"8,256 B",0.0000,0.0000,28.3203,0.0000,3.9063,0.0000,884736 B
'AddCacheItem: DataTimeOffset - IDataModel',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,8192,"1,442,861.49 ns","15,149.658 ns","14,171.000 ns","3,658.936 ns","1,410,890.33 ns","1,433,502.54 ns","1,446,019.24 ns","1,450,783.30 ns","1,467,655.96 ns",693.1,"-1,821.9682 ns",15.00,20,No,"8,239 B",0.0000,0.0000,46.8750,0.0000,11.7188,0.0000,1769472 B
'AddCacheItem: DataTimeOffset - IDataRecord',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,64,"8,313.15 ns",85.931 ns,80.379 ns,20.754 ns,"8,131.18 ns","8,264.94 ns","8,311.86 ns","8,372.22 ns","8,461.06 ns","120,291.3",-2.8769 ns,15.00,3,No,"8,324 B",0.0000,0.0000,0.4578,0.0000,0.0000,0.0000,13824 B
'AddCacheItem: DataTimeOffset - IDataRecord',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,128,"16,459.21 ns",282.352 ns,250.298 ns,66.895 ns,"16,071.22 ns","16,228.03 ns","16,564.89 ns","16,602.64 ns","16,841.55 ns","60,756.3",-26.4474 ns,14.00,4,No,"8,359 B",0.0000,0.0000,0.9155,0.0000,0.0000,0.0000,27648 B
'AddCacheItem: DataTimeOffset - IDataRecord',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,256,"34,710.12 ns",195.569 ns,163.309 ns,45.294 ns,"34,484.39 ns","34,598.47 ns","34,690.16 ns","34,875.41 ns","34,980.63 ns","28,810.0",-16.1469 ns,13.00,6,No,"8,356 B",0.0000,0.0000,1.9531,0.0000,0.0610,0.0610,0 B
'AddCacheItem: DataTimeOffset - IDataRecord',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,512,"75,383.87 ns",656.907 ns,614.471 ns,158.656 ns,"74,680.31 ns","74,824.55 ns","75,405.99 ns","75,702.05 ns","76,930.11 ns","13,265.4",-71.8279 ns,15.00,9,No,"8,378 B",0.0000,0.0000,0.9766,0.0000,0.0000,0.0000,110592 B
'AddCacheItem: DataTimeOffset - IDataRecord',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,1024,"153,732.56 ns","1,303.564 ns","1,219.355 ns",314.836 ns,"152,004.86 ns","152,820.39 ns","153,420.02 ns","155,043.80 ns","155,612.26 ns","6,504.8",-149.9180 ns,15.00,11,No,"8,340 B",0.0000,0.0000,1.7090,0.0000,0.0000,0.0000,221184 B
'AddCacheItem: DataTimeOffset - IDataRecord',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,2048,"302,514.50 ns","2,049.816 ns","1,917.399 ns",495.070 ns,"299,440.53 ns","301,290.80 ns","302,034.23 ns","303,936.06 ns","306,281.20 ns","3,305.6",-240.0352 ns,15.00,13,No,"8,273 B",0.0000,0.0000,3.4180,0.0000,0.0000,0.0000,442368 B
'AddCacheItem: DataTimeOffset - IDataRecord',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,4096,"688,695.75 ns","5,730.424 ns","5,360.242 ns","1,384.008 ns","682,140.92 ns","684,238.09 ns","687,983.98 ns","691,075.49 ns","699,330.96 ns","1,452.0",-684.5042 ns,15.00,17,No,"8,256 B",0.0000,0.0000,27.3438,0.0000,3.9063,0.0000,884736 B
