Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Rank,Baseline,Exceptions,Gen0,Code Size,Completed Work Items,Lock Contentions,Gen1,Gen2,Allocated
'Remove: FastSortedList<ref>',Job-NBZJAV,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",2,106.31 ns,0.957 ns,0.895 ns,0.231 ns,106.37 ns,104.70 ns,105.91 ns,106.75 ns,107.78 ns,"9,406,166.4",7.3844 ns,15.00,7,No,0.0000,0.0054,"4,707 B",0.0000,0.0000,0.0002,0.0002,120 B
'Remove: FastSortedList<ref>',Job-NBZJAV,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",4,247.03 ns,4.877 ns,9.513 ns,1.388 ns,241.90 ns,237.62 ns,239.76 ns,254.74 ns,274.06 ns,"4,048,033.8",22.8062 ns,47.00,12,No,0.0000,0.0048,"4,099 B",0.0000,0.0000,0.0000,0.0000,152 B
'Remove: FastSortedList<ref>',Job-NBZJAV,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",8,678.46 ns,6.377 ns,5.965 ns,1.540 ns,676.73 ns,671.13 ns,673.20 ns,684.27 ns,687.80 ns,"1,473,934.9",6.7299 ns,15.00,17,No,0.0000,0.0057,"4,099 B",0.0000,0.0000,0.0000,0.0000,184 B
'Remove: FastSortedList<ref>',Job-NBZJAV,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",16,"2,871.18 ns",22.662 ns,20.089 ns,5.369 ns,"2,862.98 ns","2,846.18 ns","2,858.57 ns","2,878.83 ns","2,912.95 ns","348,288.4",4.3155 ns,14.00,24,No,0.0000,0.0038,"4,099 B",0.0000,0.0000,0.0000,0.0000,248 B
'Remove: FastSortedList<ref>',Job-NBZJAV,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",32,"7,527.46 ns",45.858 ns,38.294 ns,10.621 ns,"7,531.63 ns","7,456.89 ns","7,509.16 ns","7,545.68 ns","7,600.01 ns","132,847.0",1.1896 ns,13.00,29,No,0.0000,0.0076,"4,122 B",0.0000,0.0000,0.0000,0.0000,376 B
'Remove: FastSortedList<ref>',Job-NBZJAV,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",64,"14,806.93 ns",93.530 ns,87.488 ns,22.589 ns,"14,801.52 ns","14,652.44 ns","14,742.23 ns","14,856.02 ns","14,947.01 ns","67,535.9",-3.7947 ns,15.00,33,No,0.0000,0.0153,"4,122 B",0.0000,0.0000,0.0000,0.0000,632 B
'Remove: FastSortedList<ref>',Job-NBZJAV,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",128,"38,993.36 ns",418.181 ns,391.167 ns,100.999 ns,"38,858.26 ns","38,615.15 ns","38,684.22 ns","39,299.89 ns","39,845.86 ns","25,645.4",-42.9994 ns,15.00,36,No,0.0000,0.0000,"4,110 B",0.0000,0.0000,0.0000,0.0000,1144 B
'Remove: FastSortedList<ref>',Job-NBZJAV,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",256,"91,334.73 ns",762.627 ns,713.362 ns,184.189 ns,"91,117.60 ns","90,485.80 ns","90,734.60 ns","91,807.49 ns","92,660.41 ns","10,948.7",-84.5946 ns,15.00,38,No,0.0000,0.0000,"4,321 B",0.0000,0.0000,0.0000,0.0000,2168 B
'Remove: SortedList<ref>',Job-NBZJAV,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",2,162.57 ns,1.823 ns,1.705 ns,0.440 ns,162.11 ns,160.25 ns,161.48 ns,163.62 ns,166.78 ns,"6,151,037.0",7.2799 ns,15.00,8,No,0.0000,0.0026,"3,877 B",0.0000,0.0000,0.0000,0.0000,80 B
'Remove: SortedList<ref>',Job-NBZJAV,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",4,333.43 ns,2.481 ns,2.200 ns,0.588 ns,333.43 ns,327.46 ns,332.79 ns,334.65 ns,336.53 ns,"2,999,115.8",6.7060 ns,14.00,13,No,0.0000,0.0033,"4,202 B",0.0000,0.0000,0.0000,0.0000,112 B
'Remove: SortedList<ref>',Job-NBZJAV,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",8,656.70 ns,6.165 ns,5.767 ns,1.489 ns,655.31 ns,649.24 ns,651.99 ns,660.05 ns,667.77 ns,"1,522,775.7",6.7555 ns,15.00,17,No,0.0000,0.0057,"4,209 B",0.0000,0.0000,0.0000,0.0000,176 B
'Remove: SortedList<ref>',Job-NBZJAV,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",16,"1,379.04 ns",14.292 ns,13.368 ns,3.452 ns,"1,375.50 ns","1,363.40 ns","1,368.41 ns","1,384.39 ns","1,404.52 ns","725,143.8",5.7741 ns,15.00,20,No,0.0000,0.0057,"4,209 B",0.0000,0.0000,0.0000,0.0000,304 B
'Remove: SortedList<ref>',Job-NBZJAV,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",32,"3,779.36 ns",25.443 ns,23.799 ns,6.145 ns,"3,784.41 ns","3,745.03 ns","3,761.56 ns","3,798.72 ns","3,813.93 ns","264,595.1",4.4275 ns,15.00,26,No,0.0000,0.0153,"4,221 B",0.0000,0.0000,0.0000,0.0000,560 B
