Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Count,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Exceptions,Code Size
'ContainsValue: Comparer',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,64,266.64 ns,0.900 ns,0.841 ns,0.217 ns,265.13 ns,265.98 ns,266.59 ns,267.16 ns,268.04 ns,"3,750,313.98",7.391 ns,15.00,1.952,2.000,0.1528,4,*,No,0.0000,"1,954 B"
'ContainsValue: Comparer',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,128,506.33 ns,2.236 ns,1.867 ns,0.518 ns,504.88 ns,505.06 ns,505.80 ns,505.93 ns,511.53 ns,"1,974,995.15",6.241 ns,13.00,4.817,2.000,1.6450,6,*,No,0.0000,"1,881 B"
'ContainsValue: Comparer',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,256,"1,274.53 ns",12.043 ns,11.265 ns,2.909 ns,"1,247.96 ns","1,274.79 ns","1,276.43 ns","1,280.43 ns","1,285.96 ns","784,601.16",6.046 ns,15.00,4.177,2.000,-1.5779,8,*,No,0.0000,"1,888 B"
'ContainsValue: Comparer',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,512,"2,577.65 ns",12.525 ns,11.716 ns,3.025 ns,"2,553.03 ns","2,571.25 ns","2,582.18 ns","2,587.24 ns","2,590.04 ns","387,949.70",5.987 ns,15.00,2.118,2.000,-0.7329,10,*,No,0.0000,"1,881 B"
'ContainsValue: Comparer',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1024,"6,754.17 ns",90.673 ns,84.815 ns,21.899 ns,"6,624.09 ns","6,694.37 ns","6,772.65 ns","6,808.36 ns","6,892.12 ns","148,056.78",-3.450 ns,15.00,1.673,2.000,-0.2091,12,*,No,0.0000,"1,877 B"
'ContainsValue: Comparer',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2048,"16,802.68 ns",331.934 ns,536.011 ns,91.925 ns,"15,926.75 ns","16,460.08 ns","16,689.01 ns","17,215.99 ns","17,926.08 ns","59,514.31",-28.963 ns,34.00,2.085,2.000,0.2219,15,*,No,0.0000,"1,877 B"
'ContainsValue: Comparer',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4096,"35,983.04 ns",659.020 ns,616.448 ns,159.166 ns,"34,912.53 ns","35,517.61 ns","36,154.18 ns","36,447.52 ns","36,809.41 ns","27,790.87",-72.083 ns,15.00,1.638,2.000,-0.2679,17,*,No,0.0000,"1,925 B"
'ContainsValue: Comparer',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,8192,"78,754.60 ns","1,485.241 ns","1,589.191 ns",374.576 ns,"76,085.35 ns","77,832.09 ns","79,075.17 ns","80,013.70 ns","81,031.99 ns","12,697.67",-178.288 ns,18.00,1.780,2.000,-0.3614,20,*,No,0.0000,"1,897 B"
'GetOrAdd: Func',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,64,"207,785.72 ns","1,072.071 ns",950.363 ns,253.995 ns,"206,395.04 ns","207,074.31 ns","207,427.60 ns","208,455.06 ns","209,586.99 ns","4,812.65",-119.998 ns,14.00,1.909,2.000,0.5098,23,*,No,0.0000,"10,950 B"
'GetOrAdd: Func',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,128,"413,237.98 ns","2,017.193 ns","1,886.884 ns",487.191 ns,"410,703.12 ns","412,025.42 ns","412,591.41 ns","414,447.78 ns","416,504.74 ns","2,419.91",-236.096 ns,15.00,1.786,2.000,0.5256,25,*,No,0.0000,"10,957 B"
'GetOrAdd: Func',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,256,"918,566.43 ns","11,486.369 ns","10,744.357 ns","2,774.181 ns","902,769.53 ns","910,437.16 ns","917,912.30 ns","923,946.09 ns","943,512.99 ns","1,088.65","-1,379.591 ns",15.00,2.709,2.000,0.5975,27,*,No,0.0000,"17,807 B"
'GetOrAdd: Func',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,512,"1,787,352.92 ns","26,232.610 ns","24,538.000 ns","6,335.684 ns","1,733,430.08 ns","1,772,338.67 ns","1,788,273.24 ns","1,807,034.86 ns","1,825,476.17 ns",559.49,"-3,160.342 ns",15.00,2.309,2.000,-0.3689,30,*,No,0.0000,"18,562 B"
'GetOrAdd: Func',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1024,"3,586,772.45 ns","62,366.570 ns","58,337.728 ns","15,062.737 ns","3,486,326.17 ns","3,546,442.19 ns","3,590,228.91 ns","3,640,374.22 ns","3,670,708.98 ns",278.80,"-7,523.868 ns",15.00,1.624,2.000,-0.0471,33,*,No,0.0000,"18,947 B"
