Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Code Size,Completed Work Items,Lock Contentions,Exceptions
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,64,"1,433.42 ns",6.197 ns,5.175 ns,1.435 ns,"1,417.80 ns","1,433.55 ns","1,434.25 ns","1,435.20 ns","1,439.02 ns","697,632.1",5.7823 ns,13.00,6.553,2.000,-1.9768,5,*,No,"1,611 B",0.0000,0.0000,0.0000
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,128,"1,376.85 ns",4.465 ns,3.958 ns,1.058 ns,"1,370.47 ns","1,374.65 ns","1,376.29 ns","1,378.99 ns","1,384.34 ns","726,293.2",6.4711 ns,14.00,2.171,2.000,0.1793,4,*,No,"1,603 B",0.0000,0.0000,0.0000
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,256,"1,380.07 ns",4.489 ns,4.199 ns,1.084 ns,"1,371.98 ns","1,378.02 ns","1,379.16 ns","1,382.04 ns","1,387.74 ns","724,602.2",6.9579 ns,15.00,2.411,2.000,-0.0243,4,*,No,"1,603 B",0.0000,0.0000,0.0000
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,512,"10,945.33 ns",48.386 ns,42.893 ns,11.464 ns,"10,875.04 ns","10,920.81 ns","10,936.80 ns","10,966.33 ns","11,038.44 ns","91,363.1",1.2682 ns,14.00,2.481,2.000,0.4934,11,*,No,"1,608 B",0.0000,0.0000,0.0000
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,1024,"21,697.28 ns",48.420 ns,45.292 ns,11.694 ns,"21,624.34 ns","21,669.04 ns","21,703.49 ns","21,719.33 ns","21,787.66 ns","46,088.7",1.6528 ns,15.00,2.110,2.000,0.1333,15,*,No,"1,615 B",0.0000,0.0000,0.0000
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,2048,"21,721.35 ns",83.603 ns,74.112 ns,19.807 ns,"21,598.94 ns","21,669.27 ns","21,714.35 ns","21,752.66 ns","21,861.71 ns","46,037.6",-2.9036 ns,14.00,2.091,2.000,0.3770,15,*,No,"1,608 B",0.0000,0.0000,0.0000
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,4096,"25,511.44 ns",126.808 ns,118.616 ns,30.627 ns,"25,343.10 ns","25,422.97 ns","25,509.59 ns","25,572.60 ns","25,726.45 ns","39,198.1",-7.8133 ns,15.00,2.054,2.000,0.3556,16,*,No,"1,608 B",0.0000,0.0000,0.0000
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,8192,"30,939.66 ns",279.304 ns,247.596 ns,66.173 ns,"30,597.03 ns","30,771.91 ns","30,918.40 ns","31,066.34 ns","31,376.72 ns","32,321.0",-26.0864 ns,14.00,1.945,2.000,0.3435,17,*,No,"1,706 B",0.0000,0.0000,0.0000
Contains,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,64,27.03 ns,0.070 ns,0.054 ns,0.016 ns,26.91 ns,26.99 ns,27.03 ns,27.07 ns,27.09 ns,"37,000,469.8",5.9921 ns,12.00,2.150,2.000,-0.4997,2,*,No,655 B,0.0000,0.0000,0.0000
Contains,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,128,25.22 ns,0.078 ns,0.073 ns,0.019 ns,25.11 ns,25.16 ns,25.23 ns,25.27 ns,25.34 ns,"39,657,714.0",7.4905 ns,15.00,1.655,2.000,0.2460,1,*,No,653 B,0.0000,0.0000,0.0000
