Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Exceptions,Code Size,Completed Work Items,Lock Contentions
'Write & Listen Async',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,64,"259,290.2 ns","1,829.16 ns","1,711.00 ns",441.78 ns,"258,548.7 ns","257,150.4 ns","258,167.0 ns","260,364.9 ns","263,391.4 ns","3,856.68",-213.3893 ns,15.00,2.760,2.000,0.9324,23,*,No,0.0000,"9,500 B",0.0000,0.0000
'Write & Listen Async',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,128,"507,635.2 ns","2,695.29 ns","2,521.17 ns",650.96 ns,"508,312.6 ns","502,590.8 ns","506,075.1 ns","508,503.3 ns","511,925.9 ns","1,969.92",-317.9819 ns,15.00,2.268,2.000,-0.1213,27,*,No,0.0000,"9,627 B",0.0000,0.0000
'Write & Listen Async',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,256,"997,133.3 ns","5,034.41 ns","4,709.19 ns","1,215.91 ns","998,464.1 ns","988,444.5 ns","994,305.8 ns","1,000,442.9 ns","1,006,196.5 ns","1,002.87",-600.4540 ns,15.00,2.142,2.000,-0.0815,30,*,No,0.0000,"9,783 B",0.0000,0.0000
'Write & Listen Async',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,512,"2,007,037.9 ns","5,730.15 ns","4,784.94 ns","1,327.10 ns","2,007,423.0 ns","1,998,609.4 ns","2,002,861.7 ns","2,011,158.6 ns","2,013,250.0 ns",498.25,-657.0514 ns,13.00,1.572,2.000,-0.2229,31,*,No,0.0000,"9,775 B",0.0000,0.0000
'Write & Listen Async',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,1024,"3,982,226.9 ns","23,111.96 ns","21,618.94 ns","5,581.99 ns","3,975,239.1 ns","3,954,368.0 ns","3,965,002.7 ns","3,999,568.8 ns","4,021,744.5 ns",251.12,"-2,783.4936 ns",15.00,1.628,2.000,0.4205,32,*,No,0.0000,"9,720 B",0.0000,0.0000
'Write & Listen Async',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,2048,"8,033,173.6 ns","48,415.92 ns","45,288.28 ns","11,693.38 ns","8,030,051.6 ns","7,969,654.7 ns","7,995,341.4 ns","8,048,233.6 ns","8,119,507.8 ns",124.48,"-5,839.1924 ns",15.00,2.206,2.000,0.5678,33,*,No,0.0000,"9,720 B",0.0000,0.0000
'Write & Listen Async',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,4096,"15,917,150.0 ns","84,942.30 ns","75,299.14 ns","20,124.54 ns","15,898,190.6 ns","15,813,096.9 ns","15,864,602.3 ns","15,967,365.6 ns","16,077,968.8 ns",62.83,"-10,055.2706 ns",14.00,2.169,2.000,0.4806,34,*,No,0.0000,"9,758 B",0.0000,0.0000
'Write & Listen Async',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,8192,"31,864,927.5 ns","254,806.24 ns","238,345.91 ns","61,540.65 ns","31,765,581.2 ns","31,590,381.2 ns","31,699,684.4 ns","32,047,465.6 ns","32,336,962.5 ns",31.38,"-30,762.8251 ns",15.00,1.849,2.000,0.5557,35,*,No,0.0000,"9,772 B",0.0000,0.0000
'Write & Read Async: IEnumerable',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,64,"4,510.4 ns",15.68 ns,13.90 ns,3.72 ns,"4,506.8 ns","4,488.9 ns","4,502.7 ns","4,516.5 ns","4,540.9 ns","221,711.85",5.1425 ns,14.00,2.816,2.000,0.8094,4,*,No,0.0000,"4,158 B",0.0000,0.0000
'Write & Read Async: IEnumerable',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,128,"9,353.5 ns",49.70 ns,46.49 ns,12.00 ns,"9,351.9 ns","9,284.0 ns","9,325.0 ns","9,379.7 ns","9,450.1 ns","106,911.40",1.4979 ns,15.00,2.208,2.000,0.2911,8,*,No,0.0000,"4,163 B",0.0000,0.0000
