Method,Categories,Count,Mean,Allocated
'BytesToString: Array SB.Append() for Comparison',"Array,Strings,**FOR COMPARISON**",2,64.14,0 B
'BytesToString: Array SB.Append() for Comparison',"Array,Strings,**FOR COMPARISON**",4,94.42,0 B
'BytesToString: Array SB.Append() for Comparison',"Array,Strings,**FOR COMPARISON**",8,137.53,416 B
'BytesToString: Array SB.Append() for Comparison',"Array,Strings,**FOR COMPARISON**",16,266.37,792 B
'BytesToString: Array SB.Append() for Comparison',"Array,Strings,**FOR COMPARISON**",32,493.31,1432 B
'BytesToString: Array SB.Append() for Comparison',"Array,Strings,**FOR COMPARISON**",64,"1,002.53",2712 B
'BytesToString: Array SB.Append() for Comparison',"Array,Strings,**FOR COMPARISON**",128,"2,085.39",5272 B
'BytesToString: Array SB.Append() for Comparison',"Array,Strings,**FOR COMPARISON**",256,"4,421.77",10392 B
'BytesToString: Array',"Array,Strings",2,57.38,0 B
'BytesToString: Array',"Array,Strings",4,84.38,168 B
'BytesToString: Array',"Array,Strings",8,138.7,312 B
'BytesToString: Array',"Array,Strings",16,250.16,600 B
'BytesToString: Array',"Array,Strings",32,467.88,0 B
'BytesToString: Array',"Array,Strings",64,934.53,0 B
'BytesToString: Array',"Array,Strings",128,"2,055.07",4632 B
'BytesToString: Array',"Array,Strings",256,"4,388.57",9240 B
'BytesToString: ReadOnlySpan SB.Append() for Comparison',"Array,Strings,**FOR COMPARISON**",2,65.33,232 B
'BytesToString: ReadOnlySpan SB.Append() for Comparison',"Array,Strings,**FOR COMPARISON**",4,91.96,0 B
'BytesToString: ReadOnlySpan SB.Append() for Comparison',"Array,Strings,**FOR COMPARISON**",8,138.65,416 B
'BytesToString: ReadOnlySpan SB.Append() for Comparison',"Array,Strings,**FOR COMPARISON**",16,262.34,792 B
'BytesToString: ReadOnlySpan SB.Append() for Comparison',"Array,Strings,**FOR COMPARISON**",32,518.1,1432 B
'BytesToString: ReadOnlySpan SB.Append() for Comparison',"Array,Strings,**FOR COMPARISON**",64,"1,017.95",2712 B
'BytesToString: ReadOnlySpan SB.Append() for Comparison',"Array,Strings,**FOR COMPARISON**",128,"2,079.63",5272 B
'BytesToString: ReadOnlySpan SB.Append() for Comparison',"Array,Strings,**FOR COMPARISON**",256,"4,507.79",10392 B
'BytesToString: ReadOnlySpan',"Array,Strings",2,54.13,96 B
'BytesToString: ReadOnlySpan',"Array,Strings",4,82,168 B
'BytesToString: ReadOnlySpan',"Array,Strings",8,135.93,312 B
'BytesToString: ReadOnlySpan',"Array,Strings",16,249.84,600 B
'BytesToString: ReadOnlySpan',"Array,Strings",32,499.56,1176 B
'BytesToString: ReadOnlySpan',"Array,Strings",64,975.14,0 B
'BytesToString: ReadOnlySpan',"Array,Strings",128,"2,012.99",4632 B
'BytesToString: ReadOnlySpan',"Array,Strings",256,"4,374.63",9240 B
'Combine Strings with Space: SB.Append() for Comparison',"Strings,**FOR COMPARISON**",2,183.64,440 B
'Combine Strings with Space: SB.Append() for Comparison',"Strings,**FOR COMPARISON**",4,319.2,760 B
'Combine Strings with Space: SB.Append() for Comparison',"Strings,**FOR COMPARISON**",8,593.06,1328 B
'Combine Strings with Space: SB.Append() for Comparison',"Strings,**FOR COMPARISON**",16,"1,069.20",2392 B
'Combine Strings with Space: SB.Append() for Comparison',"Strings,**FOR COMPARISON**",32,"1,978.24",4448 B
'Combine Strings with Space: SB.Append() for Comparison',"Strings,**FOR COMPARISON**",64,"3,888.05",8488 B
'Combine Strings with Space: SB.Append() for Comparison',"Strings,**FOR COMPARISON**",128,"7,452.41",0 B
'Combine Strings with Space: SB.Append() for Comparison',"Strings,**FOR COMPARISON**",256,"13,698.99",0 B
'Combine Strings: SB.Append() for Comparison',"Strings,**FOR COMPARISON**",2,143.94,368 B
'Combine Strings: SB.Append() for Comparison',"Strings,**FOR COMPARISON**",4,277.71,640 B
'Combine Strings: SB.Append() for Comparison',"Strings,**FOR COMPARISON**",8,506.77,1112 B
'Combine Strings: SB.Append() for Comparison',"Strings,**FOR COMPARISON**",16,918.08,0 B
'Combine Strings: SB.Append() for Comparison',"Strings,**FOR COMPARISON**",32,"1,682.54",3656 B
'Combine Strings: SB.Append() for Comparison',"Strings,**FOR COMPARISON**",64,"3,188.66",6928 B
'Combine Strings: SB.Append() for Comparison',"Strings,**FOR COMPARISON**",128,"6,255.30",13400 B
'Combine Strings: SB.Append() for Comparison',"Strings,**FOR COMPARISON**",256,"12,059.81",26272 B
'Concat Strings: SB.Append() with Char delimiter for Comparison',"Strings,**FOR COMPARISON**",2,184.03,424 B
'Concat Strings: SB.Append() with Char delimiter for Comparison',"Strings,**FOR COMPARISON**",4,350.62,744 B
'Concat Strings: SB.Append() with Char delimiter for Comparison',"Strings,**FOR COMPARISON**",8,662.96,1320 B
'Concat Strings: SB.Append() with Char delimiter for Comparison',"Strings,**FOR COMPARISON**",16,"1,210.88",2400 B
'Concat Strings: SB.Append() with Char delimiter for Comparison',"Strings,**FOR COMPARISON**",32,"2,264.02",4488 B
'Concat Strings: SB.Append() with Char delimiter for Comparison',"Strings,**FOR COMPARISON**",64,"4,194.73",8592 B
'Concat Strings: SB.Append() with Char delimiter for Comparison',"Strings,**FOR COMPARISON**",128,"8,544.82",16728 B
'Concat Strings: SB.Append() with Char delimiter for Comparison',"Strings,**FOR COMPARISON**",256,"16,561.60",32928 B
'Concat Strings: SB.Append() with String delimiter for Comparison',"Strings,**FOR COMPARISON**",2,186.81,376 B
'Concat Strings: SB.Append() with String delimiter for Comparison',"Strings,**FOR COMPARISON**",4,377.12,656 B
'Concat Strings: SB.Append() with String delimiter for Comparison',"Strings,**FOR COMPARISON**",8,675.02,1144 B
'Concat Strings: SB.Append() with String delimiter for Comparison',"Strings,**FOR COMPARISON**",16,"1,254.80",2048 B
'Concat Strings: SB.Append() with String delimiter for Comparison',"Strings,**FOR COMPARISON**",32,"2,380.66",3784 B
'Concat Strings: SB.Append() with String delimiter for Comparison',"Strings,**FOR COMPARISON**",64,"4,509.65",7184 B
'Concat Strings: SB.Append() with String delimiter for Comparison',"Strings,**FOR COMPARISON**",128,"8,730.51",13912 B
'Concat Strings: SB.Append() with String delimiter for Comparison',"Strings,**FOR COMPARISON**",256,"18,276.36",27296 B
'Concat: with Char delimiter',"Strings,**NEW**",2,40.13,72 B
'Concat: with Char delimiter',"Strings,**NEW**",4,51.63,654 B
'Concat: with Char delimiter',"Strings,**NEW**",8,81.56,216 B
'Concat: with Char delimiter',"Strings,**NEW**",16,139.31,408 B
'Concat: with Char delimiter',"Strings,**NEW**",32,244.6,706 B
'Concat: with Char delimiter',"Strings,**NEW**",64,451.99,0 B
'Concat: with Char delimiter',"Strings,**NEW**",128,902.08,3096 B
'Concat: with Char delimiter',"Strings,**NEW**",256,"1,789.86",6168 B
