Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Code Size,Exceptions
ContainsFirstLastName,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Strings,60.11 ns,0.367 ns,0.344 ns,0.089 ns,59.70 ns,59.86 ns,60.01 ns,60.32 ns,60.89 ns,"16,635,364.7",7.4556 ns,15.00,2.427,2.000,0.6966,9,*,No,"1,050 B",0.0000
ContainsWord,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Strings,39.21 ns,0.198 ns,0.185 ns,0.048 ns,38.95 ns,39.06 ns,39.21 ns,39.36 ns,39.59 ns,"25,502,141.7",7.4761 ns,15.00,1.976,2.000,0.2133,4,*,No,"1,066 B",0.0000
GetNumbers,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Strings,272.46 ns,1.705 ns,1.512 ns,0.404 ns,269.26 ns,271.70 ns,272.49 ns,273.18 ns,275.25 ns,"3,670,329.1",6.7980 ns,14.00,2.677,2.000,-0.1408,19,*,No,NA,0.0000
IsCreditCardNumber,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Strings,44.49 ns,0.197 ns,0.184 ns,0.047 ns,44.23 ns,44.38 ns,44.43 ns,44.60 ns,44.91 ns,"22,477,104.0",7.4763 ns,15.00,2.561,2.000,0.7118,5,*,No,"1,050 B",0.0000
IsCurrencyCode,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Strings,20.37 ns,0.058 ns,0.054 ns,0.014 ns,20.26 ns,20.33 ns,20.38 ns,20.41 ns,20.45 ns,"49,100,750.1",7.4930 ns,15.00,1.880,2.000,-0.2636,1,*,No,993 B,0.0000
IsEmailAddress,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Strings,112.83 ns,0.373 ns,0.349 ns,0.090 ns,112.27 ns,112.62 ns,112.87 ns,113.11 ns,113.36 ns,"8,862,695.3",7.4550 ns,15.00,1.624,2.000,0.0318,14,*,No,"1,047 B",0.0000
IsGuid,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Strings,158.90 ns,2.079 ns,1.736 ns,0.481 ns,157.60 ns,157.76 ns,158.15 ns,159.25 ns,163.61 ns,"6,293,371.4",6.2593 ns,13.00,4.427,2.000,1.5239,17,*,No,"1,050 B",0.0000
IsIPv4Address,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Strings,63.24 ns,0.321 ns,0.284 ns,0.076 ns,62.74 ns,63.09 ns,63.27 ns,63.38 ns,63.78 ns,"15,811,630.2",6.9620 ns,14.00,2.162,2.000,0.0258,10,*,No,"1,050 B",0.0000
IsIPv6Address,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Strings,81.07 ns,0.270 ns,0.252 ns,0.065 ns,80.77 ns,80.90 ns,80.99 ns,81.29 ns,81.48 ns,"12,334,317.8",7.4675 ns,15.00,1.543,2.000,0.4615,12,*,No,"1,050 B",0.0000
IsISBN,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Strings,57.77 ns,0.153 ns,0.143 ns,0.037 ns,57.54 ns,57.66 ns,57.74 ns,57.86 ns,58.02 ns,"17,310,800.7",7.4815 ns,15.00,1.913,2.000,0.3761,8,*,No,"1,050 B",0.0000
