Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Code Size,Exceptions
'Deserialize JSON: JsonSerializer + Generator - List<Person>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"JSON,JsonSerializer,Serialization","574,049.4 ns","2,155.15 ns","2,015.93 ns",520.51 ns,"573,435.7 ns","570,915.1 ns","572,559.9 ns","575,864.8 ns","577,171.5 ns","1,742.0",-252.7550 ns,15.00,1.508,2.000,0.1440,10,*,No,"5,754 B",0.0000
'Deserialize JSON: JsonSerializer + Generator - Person',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"JSON,JsonSerializer,Serialization","5,427.2 ns",37.83 ns,35.39 ns,9.14 ns,"5,410.0 ns","5,392.9 ns","5,400.9 ns","5,447.0 ns","5,495.4 ns","184,256.3",2.9316 ns,15.00,1.934,2.000,0.7933,6,*,No,"8,440 B",0.0000
'Deserialize: JSON-PersonRecord',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"JSON,Serialization","4,738.6 ns",31.02 ns,27.49 ns,7.35 ns,"4,730.1 ns","4,703.2 ns","4,724.3 ns","4,744.6 ns","4,795.9 ns","211,031.6",3.3258 ns,14.00,2.588,2.000,0.8913,5,*,No,"6,224 B",0.0000
'Deserialize: List<Person>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"JSON,Serialization","587,069.6 ns","3,165.15 ns","2,960.69 ns",764.45 ns,"587,106.1 ns","582,252.6 ns","584,824.3 ns","588,714.5 ns","591,943.7 ns","1,703.4",-374.7229 ns,15.00,1.806,2.000,0.0620,10,*,No,"6,224 B",0.0000
'Deserialize: XML=Person',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"XML,Serialization","9,138.1 ns",47.50 ns,39.66 ns,11.00 ns,"9,140.6 ns","9,051.7 ns","9,125.4 ns","9,161.6 ns","9,214.4 ns","109,432.4",0.9999 ns,13.00,2.975,2.000,-0.3012,7,*,No,"8,341 B",0.0000
'Deserialize: XML=PersonRecord',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"XML,Serialization","8,977.4 ns",53.32 ns,49.87 ns,12.88 ns,"8,974.3 ns","8,881.7 ns","8,955.2 ns","9,014.1 ns","9,049.0 ns","111,391.3",1.0615 ns,15.00,1.943,2.000,-0.4581,7,*,No,"8,367 B",0.0000
"'LoadCollectionFromJson: JSON=People, SerializerContext'",Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"JSON,Serialization","708,836.7 ns","2,735.77 ns","2,135.91 ns",616.58 ns,"709,348.8 ns","705,059.2 ns","707,533.7 ns","709,782.7 ns","711,979.5 ns","1,410.8",-302.2920 ns,12.00,1.909,2.000,-0.2004,11,*,No,NA,0.0000
'LoadCollectionFromJson: JSON=People',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"JSON,Serialization","739,009.1 ns","5,756.97 ns","5,103.40 ns","1,363.94 ns","739,304.2 ns","731,044.5 ns","735,771.6 ns","741,691.0 ns","749,656.1 ns","1,353.2",-674.9709 ns,14.00,2.339,2.000,0.1262,12,*,No,NA,0.0000
'Serialize JSON: JsonSerializer + Generator - List<Person>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"JSON,JsonSerializer,Serialization","241,015.1 ns","4,784.53 ns","5,875.83 ns","1,252.73 ns","241,122.1 ns","229,893.2 ns","237,022.4 ns","244,308.4 ns","250,909.1 ns","4,149.1",-615.3656 ns,22.00,1.941,2.000,-0.0464,8,*,No,"11,579 B",0.0000
'Serialize JSON: JsonSerializer + Generator - Person',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"JSON,JsonSerializer,Serialization","1,205.2 ns",6.69 ns,6.26 ns,1.62 ns,"1,204.1 ns","1,195.5 ns","1,201.1 ns","1,209.6 ns","1,217.1 ns","829,771.2",6.6919 ns,15.00,1.934,2.000,0.3138,2,*,No,"11,910 B",0.0000
