Method,Categories,Mean,Allocated
'BuiltInTypeNames: Cached',"Reflection,**NEW**",11.6618,0 B
'Create: With Parameters',Strings,278.7882,512 B
'FindDerivedTypes: Cached',Reflection,765.9157,472 B
'GetAllAbstractMethods: Cached',"Reflection,**NEW**",75.758,152 B
'GetAllConstructors: Cached',"Reflection,**NEW**",105.1282,232 B
'GetAllDeclaredFields: Cached',"Reflection,**NEW**",222.5033,0 B
'GetAllDeclaredMethods: Cached',"Reflection,**NEW**",404.474,216 B
GetAllFields: Cached',"Reflection,**NEW**",291.5059,224 B
'GetAllMethods: Cached',"Reflection,**NEW**",902.3092,192 B
'GetAllProperties: Cached',"Reflection,**NEW**",174.8397,248 B
'GetAttribute: FieldInfo',"Reflection,**NEW**",452.7473,128 B
'GetImplementedInterfaces: Interface Names',"Reflection,**NEW**",354.5129,712 B
'GetMembersWithAttribute: Cached',Strings,208.1854,224 B
'GetTypeDisplayName: Cached',"Reflection,**NEW**",46.489,0 B
'HasBaseClass: Cached',"Reflection,**NEW**",64.9795,112 B
'ImplementsInterface: Cached',"Reflection,**NEW**",393.619,736 B
'Looping Collection: Normal StringBuilder',Strings,"4,047.97",15120 B
BuiltInTypeNames,"**FOR COMPARISON**,**NEW**","141,520.40",126484 B
BuiltInTypes,Reflection,"1,320.33",0 B
Create,Strings,30.6765,3873 B
DoesObjectEqualInstance,Strings,0.0006,0 B
FindDerivedTypes,**FOR COMPARISON**,"718,004.91",136704 B
GetAllAbstractMethods,**FOR COMPARISON**,637.9177,1056 B
GetAllConstructors,**FOR COMPARISON**,121.1434,1665 B
GetAllDeclaredFields,**FOR COMPARISON**,367.9884,0 B
GetAllDeclaredMethods,**FOR COMPARISON**,751.1973,1072 B
GetAllFields,**FOR COMPARISON**,595.0114,632 B
GetAllGenericMethods,"Reflection,**NEW**","1,660.68",2280 B
GetAllMethods,**FOR COMPARISON**,"2,655.76",5344 B
GetAllProperties,**FOR COMPARISON**,264.6308,296 B
GetAllPublicMethods,"Reflection,**NEW**",590.0694,944 B
GetAllStaticMethods,"Reflection,**NEW**",982.6134,1480 B
GetGenericArguments,"Reflection,**NEW**",75.5503,40 B
GetImplementedInterfaces,Reflection,94.2878,0 B
GetImplementedInterfaceTypes,"Reflection,**NEW**",37.6402,144 B
GetInstanceHashCode,Reflection,"23,860.13",3696 B
GetMembersWithAttribute,**FOR COMPARISON**,"14,937.47",2649 B
GetPropertyValues,Reflection,"25,450.07",5016 B
GetTypeMembersWithAttribute,"Reflection,**NEW**",729.3032,704 B
HasBaseClass,**FOR COMPARISON**,3.177,0 B
HasMethod,"Reflection,**NEW**",11.3146,0 B
HasParameterlessConstructor,"Reflection,**NEW**",17.9563,0 B
HasProperty,"Reflection,**NEW**",9.0232,0 B
ImplementsInterface,**FOR COMPARISON**,196.1874,176 B
IsAssignableTo,"Reflection,**NEW**",3.9771,0 B
IsClosedGeneric,"Reflection,**NEW**",0.742,0 B
IsEnumerable,"Reflection,**NEW**",21.7322,88 B
ProcessGenericType,"Reflection,**NEW**",115.4274,432 B
