Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Exceptions,Code Size
'AddFirst : Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",64,70.7163 ns,1.4132 ns,2.6194 ns,0.3995 ns,69.8047 ns,68.0645 ns,68.5622 ns,72.6423 ns,77.8474 ns,"14,141,020.571",21.3003 ns,43.00,3.084,2.348,0.9822,22,*,No,0.0000,"1,803 B"
'AddFirst : Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",128,126.9711 ns,2.4458 ns,3.0932 ns,0.6450 ns,125.4787 ns,123.8071 ns,124.8752 ns,128.7934 ns,134.9135 ns,"7,875,810.808",11.1775 ns,23.00,3.567,2.000,1.2076,25,*,No,0.0000,"1,790 B"
'AddFirst : Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",256,243.7862 ns,4.0396 ns,3.7786 ns,0.9756 ns,242.4581 ns,239.0483 ns,240.9902 ns,246.5558 ns,251.4234 ns,"4,101,955.527",7.0122 ns,15.00,1.941,2.000,0.5944,29,*,No,0.0000,"1,995 B"
'AddFirst : Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",512,508.7792 ns,6.2721 ns,5.2375 ns,1.4526 ns,510.3078 ns,493.3578 ns,508.2719 ns,510.9445 ns,514.5906 ns,"1,965,489.257",5.7737 ns,13.00,5.977,2.000,-1.8185,35,*,No,0.0000,"2,002 B"
'AddFirst : Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",1024,915.0440 ns,10.8417 ns,10.1413 ns,2.6185 ns,912.2156 ns,903.8612 ns,905.7106 ns,923.4665 ns,932.3857 ns,"1,092,843.582",6.1908 ns,15.00,1.530,2.000,0.4310,39,*,No,0.0000,"2,000 B"
'AddFirst : Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",2048,"1,961.7873 ns",26.1352 ns,24.4469 ns,6.3122 ns,"1,961.4170 ns","1,911.0241 ns","1,944.3602 ns","1,978.5866 ns","1,998.2433 ns","509,739.260",4.3439 ns,15.00,2.139,2.000,-0.2997,46,*,No,0.0000,"2,000 B"
'AddFirst : Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",4096,"3,212.2676 ns",46.2478 ns,43.2602 ns,11.1697 ns,"3,230.3638 ns","3,131.7188 ns","3,175.4929 ns","3,241.3029 ns","3,261.7996 ns","311,306.569",1.9151 ns,15.00,1.757,2.000,-0.5854,51,*,No,0.0000,"1,975 B"
'AddFirst : Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",8192,"6,569.2086 ns",17.8036 ns,14.8668 ns,4.1233 ns,"6,568.8683 ns","6,551.3145 ns","6,558.0620 ns","6,572.9614 ns","6,599.5399 ns","152,225.338",4.4383 ns,13.00,2.091,2.000,0.5241,59,*,No,0.0000,"1,979 B"
'AddLast : Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",64,70.2118 ns,1.4230 ns,1.7997 ns,0.3753 ns,69.5132 ns,68.1647 ns,69.0781 ns,70.8467 ns,73.9159 ns,"14,242,622.967",11.3124 ns,23.00,2.506,2.000,0.9850,22,*,No,0.0000,"1,790 B"
'AddLast : Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",128,127.9902 ns,0.8956 ns,0.7479 ns,0.2074 ns,127.9198 ns,126.9256 ns,127.4673 ns,128.3602 ns,129.8053 ns,"7,813,100.543",6.3963 ns,13.00,3.266,2.000,0.7438,25,*,No,0.0000,"1,783 B"
