Method,Count,Mean,Allocated
'AddRange: List',64,"78,048.40",6248 B
'AddRange: List',128,"93,753.30",11328 B
'AddRange: List',256,"149,467.90",23888 B
'AddRange: List',512,"206,904.00",43008 B
'AddRange: List',1024,"305,543.90",89488 B
'AddRange: List',2048,"506,443.70",185128 B
'AddRange: List',4096,"958,279.80",381488 B
'AddRange: List',8192,"1,893,548.90",682888 B
AsReadOnlySpan,64,145.6,1072 B
AsReadOnlySpan,128,264.9,2096 B
AsReadOnlySpan,256,493.9,4144 B
AsReadOnlySpan,512,"1,044.80",8240 B
AsReadOnlySpan,1024,"1,852.20",16432 B
AsReadOnlySpan,2048,"3,970.00",32816 B
AsReadOnlySpan,4096,"6,443.80",65584 B
AsReadOnlySpan,8192,"13,322.90",131120 B
AsSpan,64,138.6,1072 B
AsSpan,128,267.5,2096 B
AsSpan,256,510.1,4144 B
AsSpan,512,"1,038.00",8240 B
AsSpan,1024,"1,830.00",16432 B
AsSpan,2048,"3,875.20",32816 B
AsSpan,4096,"6,449.80",65584 B
AsSpan,8192,"13,266.70",131120 B
ToFrozenSet,64,"8,517.20",7096 B
ToFrozenSet,128,"19,331.00",18328 B
ToFrozenSet,256,"38,607.60",31552 B
ToFrozenSet,512,"94,373.60",0 B
ToFrozenSet,1024,"158,441.20",83032 B
ToFrozenSet,2048,"327,288.40",172096 B
ToFrozenSet,4096,"766,673.50",354515 B
ToFrozenSet,8192,"1,648,663.30",635595 B
