Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Completed Work Items,Lock Contentions,Code Size,Exceptions
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,64,"2,246.7 ns",15.47 ns,14.47 ns,3.74 ns,"2,222.4 ns","2,236.7 ns","2,246.0 ns","2,253.9 ns","2,277.7 ns","445,092.4",5.6323 ns,15.00,2.385,2.000,0.3689,3,*,No,0.0000,0.0000,"6,832 B",0.0000
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,128,"4,205.2 ns",30.82 ns,25.73 ns,7.14 ns,"4,164.5 ns","4,188.9 ns","4,203.5 ns","4,216.4 ns","4,248.9 ns","237,802.3",2.9314 ns,13.00,2.121,2.000,0.1847,4,*,No,0.0000,0.0000,"5,999 B",0.0000
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,256,"7,401.8 ns",45.17 ns,42.26 ns,10.91 ns,"7,329.2 ns","7,369.1 ns","7,397.2 ns","7,427.4 ns","7,474.4 ns","135,103.1",2.0448 ns,15.00,1.858,2.000,0.1514,5,*,No,0.0000,0.0000,"6,173 B",0.0000
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,512,"14,074.4 ns",90.11 ns,75.24 ns,20.87 ns,"13,954.2 ns","14,027.0 ns","14,057.3 ns","14,105.8 ns","14,234.8 ns","71,051.0",-3.9343 ns,13.00,2.517,2.000,0.5728,7,*,No,0.0000,0.0000,"6,177 B",0.0000
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,1024,"27,825.8 ns",197.74 ns,184.96 ns,47.76 ns,"27,538.6 ns","27,723.0 ns","27,774.2 ns","27,953.6 ns","28,172.2 ns","35,937.9",-16.3785 ns,15.00,1.994,2.000,0.2944,9,*,No,0.0000,0.0000,"6,153 B",0.0000
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,2048,"49,156.4 ns",319.92 ns,299.26 ns,77.27 ns,"48,711.3 ns","48,974.6 ns","49,106.6 ns","49,365.3 ns","49,789.9 ns","20,343.2",-31.1337 ns,15.00,2.183,2.000,0.3136,11,*,No,0.0000,0.0000,"7,081 B",0.0000
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,4096,"124,887.7 ns","1,481.24 ns","1,385.56 ns",357.75 ns,"123,078.7 ns","123,788.0 ns","124,549.8 ns","125,738.3 ns","127,439.0 ns","8,007.2",-171.3745 ns,15.00,1.777,2.000,0.4427,14,*,No,0.0000,0.0000,"7,071 B",0.0000
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,8192,"203,193.2 ns","4,058.03 ns","5,417.36 ns","1,083.47 ns","190,071.1 ns","200,453.1 ns","204,326.9 ns","207,296.0 ns","211,683.3 ns","4,921.4",-529.2359 ns,25.00,2.634,2.000,-0.6509,16,*,No,0.0000,0.0000,"6,684 B",0.0000
RemoveRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,64,"7,553.2 ns",49.32 ns,46.13 ns,11.91 ns,"7,473.1 ns","7,515.4 ns","7,560.5 ns","7,576.9 ns","7,637.8 ns","132,393.9",1.5441 ns,15.00,2.240,2.000,0.2577,5,*,No,0.0000,0.0000,NA,0.0000
RemoveRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,128,"14,189.1 ns",134.78 ns,126.08 ns,32.55 ns,"13,978.5 ns","14,110.2 ns","14,176.7 ns","14,259.1 ns","14,450.6 ns","70,476.8",-8.7763 ns,15.00,2.326,2.000,0.2662,7,*,No,0.0000,0.0000,NA,0.0000
RemoveRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,256,"28,797.3 ns",237.87 ns,222.50 ns,57.45 ns,"28,515.7 ns","28,616.8 ns","28,756.8 ns","28,925.7 ns","29,160.1 ns","34,725.5",-21.2248 ns,15.00,1.535,2.000,0.3032,9,*,No,0.0000,0.0000,NA,0.0000
