Method,Categories,Count,Mean,Allocated
'GetOrAdd: Dictionary',Collections,64,22.344,0 B
'GetOrAdd: Dictionary',Collections,128,27.734,0 B
'GetOrAdd: Dictionary',Collections,256,22.23,0 B
'GetOrAdd: Dictionary',Collections,512,22.22,0 B
'GetOrAdd: Dictionary',Collections,1024,22.224,0 B
'GetOrAdd: Dictionary',Collections,2048,22.224,0 B
'GetOrAdd: Dictionary',Collections,4096,22.171,0 B
'GetOrAdd: Dictionary',Collections,8192,22.398,0 B
'IsNotEmpty: With Predicate',Collections,64,8.568,0 B
'IsNotEmpty: With Predicate',Collections,128,7.867,0 B
'IsNotEmpty: With Predicate',Collections,256,7.902,0 B
'IsNotEmpty: With Predicate',Collections,512,7.851,0 B
'IsNotEmpty: With Predicate',Collections,1024,7.851,0 B
'IsNotEmpty: With Predicate',Collections,2048,7.843,0 B
'IsNotEmpty: With Predicate',Collections,4096,10.293,0 B
'IsNotEmpty: With Predicate',Collections,8192,7.905,0 B
'ToSortedDictionary: Comparer',Collections,64,"2,535.50",3776 B
'ToSortedDictionary: Comparer',Collections,128,"5,827.33",0 B
'ToSortedDictionary: Comparer',Collections,256,"13,481.70",12487 B
'ToSortedDictionary: Comparer',Collections,512,"47,473.01",28864 B
'ToSortedDictionary: Comparer',Collections,1024,"141,673.77",57536 B
'ToSortedDictionary: Comparer',Collections,2048,"338,526.62",114880 B
'ToSortedDictionary: Comparer',Collections,4096,"791,567.67",229568 B
'ToSortedDictionary: Comparer',Collections,8192,"1,928,559.01",458944 B
'Upsert: New Person',Collections,64,23.926,0 B
'Upsert: New Person',Collections,128,24.036,0 B
'Upsert: New Person',Collections,256,24.401,0 B
'Upsert: New Person',Collections,512,24.553,0 B
'Upsert: New Person',Collections,1024,24.038,0 B
'Upsert: New Person',Collections,2048,24.163,0 B
'Upsert: New Person',Collections,4096,24.271,0 B
'Upsert: New Person',Collections,8192,23.128,0 B
AddRange,Collections,64,"12,131.77",0 B
AddRange,Collections,128,"25,076.19",0 B
AddRange,Collections,256,"50,779.12",41993 B
AddRange,Collections,512,"105,609.69",85353 B
AddRange,Collections,1024,"217,518.67",163729 B
AddRange,Collections,2048,"436,802.86",332186 B
AddRange,Collections,4096,"989,631.69",671752 B
