Method,Categories,Count,Mean,Allocated
'Chunk (compare to Page and Partition)',"**FOR COMPARISON**,**NEW**,Collections",64,303.317,648 B
'Chunk (compare to Page and Partition)',"**FOR COMPARISON**,**NEW**,Collections",128,577.67,1232 B
'Chunk (compare to Page and Partition)',"**FOR COMPARISON**,**NEW**,Collections",256,"1,179.84",2376 B
'Chunk (compare to Page and Partition)',"**FOR COMPARISON**,**NEW**,Collections",512,"2,133.61",4664 B
'Chunk (compare to Page and Partition)',"**FOR COMPARISON**,**NEW**,Collections",1024,"4,126.19",9240 B
'Chunk (compare to Page and Partition)',"**FOR COMPARISON**,**NEW**,Collections",2048,"8,261.46",18416 B
'Chunk (compare to Page and Partition)',"**FOR COMPARISON**,**NEW**,Collections",4096,"18,539.69",36768 B
'Chunk (compare to Page and Partition)',"**FOR COMPARISON**,**NEW**,Collections",8192,"33,512.03",73472 B
'ContainsAny: as Value',"Array,Value Type,Collections",64,"511,590.65",269271 B
'ContainsAny: as Value',"Array,Value Type,Collections",128,"1,010,607.32",536581 B
'ContainsAny: as Value',"Array,Value Type,Collections",256,"2,074,532.34",1142314 B
'ContainsAny: as Value',"Array,Value Type,Collections",512,"3,926,238.41",2145610 B
'ContainsAny: as Value',"Array,Value Type,Collections",1024,"7,868,224.55",4287650 B
'ContainsAny: as Value',"Array,Value Type,Collections",2048,"16,668,923.73",8575350 B
'ContainsAny: as Value',"Array,Value Type,Collections",4096,"33,856,313.02",17152652 B
'ContainsAny: as Value',"Array,Value Type,Collections",8192,"68,413,732.01",35079200 B
'FastAny: With Predicate',Collections,64,10.598,0 B
'FastAny: With Predicate',Collections,128,10.861,0 B
'FastAny: With Predicate',Collections,256,11.813,0 B
'FastAny: With Predicate',Collections,512,10.636,0 B
'FastAny: With Predicate',Collections,1024,10.796,0 B
'FastAny: With Predicate',Collections,2048,11.197,0 B
'FastAny: With Predicate',Collections,4096,10.761,0 B
'FastAny: With Predicate',Collections,8192,10.582,0 B
'FastShuffleWith Count',Collections,64,936.526,416 B
'FastShuffleWith Count',Collections,128,"1,805.62",672 B
'FastShuffleWith Count',Collections,256,"3,425.83",1184 B
'FastShuffleWith Count',Collections,512,"6,741.73",2208 B
'FastShuffleWith Count',Collections,1024,"13,538.07",4256 B
'FastShuffleWith Count',Collections,2048,"26,778.57",8352 B
'FastShuffleWith Count',Collections,4096,"57,473.57",16544 B
'FastShuffleWith Count',Collections,8192,"115,445.68",32928 B
"'FirstOrDefault: Predicate, With Alternate'",Collections,64,192.488,0 B
"'FirstOrDefault: Predicate, With Alternate'",Collections,128,380.288,0 B
"'FirstOrDefault: Predicate, With Alternate'",Collections,256,934.652,0 B
"'FirstOrDefault: Predicate, With Alternate'",Collections,512,"1,955.30",0 B
"'FirstOrDefault: Predicate, With Alternate'",Collections,1024,"5,201.36",0 B
"'FirstOrDefault: Predicate, With Alternate'",Collections,2048,"12,704.61",0 B
"'FirstOrDefault: Predicate, With Alternate'",Collections,4096,"28,863.19",0 B
"'FirstOrDefault: Predicate, With Alternate'",Collections,8192,"62,173.81",0 B
'FirstOrDefault: With Alternate',Collections,64,2.62,0 B
'FirstOrDefault: With Alternate',Collections,128,2.63,0 B
'FirstOrDefault: With Alternate',Collections,256,2.606,0 B
'FirstOrDefault: With Alternate',Collections,512,2.58,0 B
'FirstOrDefault: With Alternate',Collections,1024,2.608,0 B
'FirstOrDefault: With Alternate',Collections,2048,2.642,0 B
'FirstOrDefault: With Alternate',Collections,4096,2.612,0 B
'FirstOrDefault: With Alternate',Collections,8192,2.607,0 B
'IndexOf: Comparer',Collections,64,196.272,24 B
'IndexOf: Comparer',Collections,128,393.37,24 B
