Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Code Size,Exceptions
ToBlockingCollection,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,64,"1,085.4 ns",4.71 ns,4.18 ns,1.12 ns,"1,085.2 ns","1,077.2 ns","1,083.2 ns","1,087.4 ns","1,093.1 ns","921,343.781",6.4415 ns,14.00,2.565,2.000,0.1561,6,*,No,"2,935 B",0.0000
ToBlockingCollection,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,128,"2,113.8 ns",13.30 ns,12.45 ns,3.21 ns,"2,116.4 ns","2,096.9 ns","2,101.1 ns","2,125.4 ns","2,132.1 ns","473,078.239",5.8933 ns,15.00,1.310,2.000,-0.0057,11,*,No,"2,955 B",0.0000
ToBlockingCollection,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,256,"4,123.4 ns",39.17 ns,36.64 ns,9.46 ns,"4,116.8 ns","4,079.6 ns","4,097.9 ns","4,146.2 ns","4,212.5 ns","242,519.838",2.7703 ns,15.00,2.906,2.000,0.7621,14,*,No,"2,955 B",0.0000
ToBlockingCollection,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,512,"8,052.4 ns",55.86 ns,52.26 ns,13.49 ns,"8,055.7 ns","7,981.5 ns","8,005.8 ns","8,084.0 ns","8,148.1 ns","124,186.278",0.7539 ns,15.00,1.683,2.000,0.3468,17,*,No,"2,968 B",0.0000
ToBlockingCollection,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,1024,"15,715.7 ns",76.99 ns,64.29 ns,17.83 ns,"15,715.7 ns","15,599.1 ns","15,683.3 ns","15,749.2 ns","15,842.5 ns","63,630.802",-2.4151 ns,13.00,2.317,2.000,0.1682,21,*,No,"2,922 B",0.0000
ToBlockingCollection,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,2048,"30,593.7 ns",448.82 ns,419.83 ns,108.40 ns,"30,393.8 ns","30,065.8 ns","30,253.0 ns","30,979.6 ns","31,311.9 ns","32,686.493",-46.6993 ns,15.00,1.387,2.000,0.3116,25,*,No,"2,922 B",0.0000
ToBlockingCollection,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,4096,"58,228.9 ns",250.26 ns,221.85 ns,59.29 ns,"58,261.4 ns","57,743.8 ns","58,091.3 ns","58,344.1 ns","58,685.9 ns","17,173.596",-22.6461 ns,14.00,3.084,2.000,-0.1518,29,*,No,"2,740 B",0.0000
ToBlockingCollection,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,8192,"187,022.5 ns","3,712.40 ns","5,441.58 ns","1,010.48 ns","186,036.2 ns","176,870.2 ns","184,579.2 ns","190,212.2 ns","197,142.8 ns","5,346.950",-490.7384 ns,29.00,2.273,2.000,0.2208,35,*,No,"2,916 B",0.0000
ToCollection,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,64,425.6 ns,7.95 ns,12.38 ns,2.19 ns,422.6 ns,400.6 ns,417.0 ns,430.8 ns,451.1 ns,"2,349,531.007",14.9057 ns,32.00,2.486,2.000,0.5327,2,*,No,"2,031 B",0.0000
ToCollection,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,128,764.4 ns,7.74 ns,7.24 ns,1.87 ns,762.0 ns,754.4 ns,759.6 ns,770.1 ns,775.4 ns,"1,308,255.345",6.5656 ns,15.00,1.498,2.000,0.2915,4,*,No,"2,034 B",0.0000
