Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Completed Work Items,Lock Contentions,Exceptions,Code Size
'FastLongCount: With Predicate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,64,856.608 ns,5.7529 ns,5.3813 ns,1.3894 ns,848.922 ns,852.729 ns,854.988 ns,860.416 ns,866.032 ns,"1,167,395.7",6.8053 ns,15.00,1.739,2.000,0.4715,11,*,No,0.0000,0.0000,0.0000,"3,982 B"
'FastLongCount: With Predicate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,128,"1,693.178 ns",13.6034 ns,12.7247 ns,3.2855 ns,"1,674.658 ns","1,686.328 ns","1,688.549 ns","1,700.873 ns","1,719.188 ns","590,605.4",5.8573 ns,15.00,2.097,2.000,0.3567,14,*,No,0.0000,0.0000,0.0000,"3,977 B"
'FastLongCount: With Predicate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,256,"3,657.448 ns",24.4537 ns,22.8740 ns,5.9060 ns,"3,626.262 ns","3,631.947 ns","3,660.424 ns","3,674.446 ns","3,698.050 ns","273,414.7",4.5470 ns,15.00,1.559,2.000,0.0303,17,*,No,0.0000,0.0000,0.0000,"3,982 B"
'FastLongCount: With Predicate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,512,"7,741.131 ns",55.3296 ns,49.0482 ns,13.1087 ns,"7,651.970 ns","7,713.748 ns","7,745.203 ns","7,774.900 ns","7,815.349 ns","129,180.1",0.4457 ns,14.00,1.821,2.000,-0.2110,19,*,No,0.0000,0.0000,0.0000,"3,982 B"
'FastLongCount: With Predicate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,1024,"22,794.696 ns",383.5006 ns,358.7267 ns,92.6228 ns,"22,230.206 ns","22,498.367 ns","22,734.027 ns","23,037.064 ns","23,381.900 ns","43,869.9",-38.8114 ns,15.00,1.609,2.000,0.0250,20,*,No,0.0000,0.0000,0.0000,"3,977 B"
'FastLongCount: With Predicate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,2048,"57,265.050 ns",696.8603 ns,651.8435 ns,168.3053 ns,"56,235.046 ns","56,724.475 ns","57,147.089 ns","57,850.967 ns","58,121.954 ns","17,462.7",-76.6526 ns,15.00,1.422,2.000,-0.0612,22,*,No,0.0000,0.0000,0.0000,"3,982 B"
'FastLongCount: With Predicate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,4096,"136,334.818 ns","1,960.6467 ns","1,833.9901 ns",473.5342 ns,"133,463.159 ns","134,717.151 ns","136,496.924 ns","137,717.078 ns","139,891.235 ns","7,334.9",-229.2671 ns,15.00,1.861,2.000,0.2301,24,*,No,0.0000,0.0000,0.0000,"4,144 B"
'FastLongCount: With Predicate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,8192,"296,398.228 ns","2,378.5598 ns","2,224.9064 ns",574.4684 ns,"293,290.698 ns","294,711.255 ns","295,985.083 ns","297,092.139 ns","300,641.772 ns","3,373.8",-279.7342 ns,15.00,2.077,2.000,0.5215,26,*,No,0.0000,0.0000,0.0000,"3,992 B"
'IEnumerable.Count(): With Predicate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"**FOR COMPARISON**,Collections",64,840.050 ns,4.1824 ns,3.4925 ns,0.9686 ns,833.563 ns,838.713 ns,840.983 ns,842.025 ns,846.848 ns,"1,190,405.6",6.0157 ns,13.00,2.356,2.000,-0.0506,11,*,No,0.0000,0.0000,0.0000,"3,942 B"
'IEnumerable.Count(): With Predicate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"**FOR COMPARISON**,Collections",128,"1,629.488 ns",7.9242 ns,7.0246 ns,1.8774 ns,"1,614.937 ns","1,626.901 ns","1,628.862 ns","1,634.277 ns","1,642.146 ns","613,689.6",6.0613 ns,14.00,2.497,2.000,-0.1812,13,*,No,0.0000,0.0000,0.0000,"3,922 B"
