Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Code Size,Exceptions
AddIf,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,64,"16,332.6 ns","1,644.53 ns","4,638.42 ns",483.59 ns,"16,100.0 ns","5,400.0000 ns","13,650.0000 ns","19,425.0 ns","28,400.0 ns","61,227.2",-195.7945 ns,92.00,2.816,2.462,0.1793,10,*,No,505 B,0.0000
AddIf,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,128,"18,549.0 ns","3,093.52 ns","9,023.94 ns",911.56 ns,"14,900.0 ns","5,550.0000 ns","12,575.0000 ns","25,700.0 ns","45,750.0 ns","53,911.3",-406.7777 ns,98.00,2.931,2.667,0.8940,10,*,No,505 B,0.0000
AddIf,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,256,"21,679.0 ns","3,319.64 ns","9,788.03 ns",978.80 ns,"18,350.0 ns","3,500.0000 ns","13,875.0000 ns","29,350.0 ns","40,600.0 ns","46,127.6",-439.4015 ns,100.00,1.907,3.135,0.3566,10,*,No,529 B,0.0000
AddIf,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,512,"20,237.0 ns","3,251.80 ns","9,587.99 ns",958.80 ns,"18,200.0 ns","2,850.0000 ns","13,450.0000 ns","28,500.0 ns","49,450.0 ns","49,414.4",-429.3997 ns,100.00,2.668,3.125,0.3951,10,*,No,536 B,0.0000
AddIf,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,1024,"9,563.5 ns","3,344.80 ns","9,862.22 ns",986.22 ns,"5,050.0 ns",0.0000 ns,"1,625.0000 ns","17,975.0 ns","35,150.0 ns","104,564.2",-443.1109 ns,100.00,2.291,2.716,0.8218,7,*,No,"2,894 B",0.0000
AddIf,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,2048,"2,489.1 ns","1,164.11 ns","3,186.74 ns",341.65 ns,"1,550.0 ns",0.0000 ns,0.0000 ns,"3,700.0 ns","14,150.0 ns","401,754.8",-127.3272 ns,87.00,4.594,2.304,1.4493,1,*,No,"2,894 B",0.0000
AddIf,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,4096,"4,298.8 ns","1,121.03 ns","3,049.84 ns",328.87 ns,"3,200.0 ns",0.0000 ns,"2,000.0000 ns","6,500.0 ns","14,800.0 ns","232,621.0",-121.4364 ns,86.00,3.357,3.556,0.7864,4,*,No,"2,890 B",0.0000
AddIf,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,8192,"1,976.9 ns",905.03 ns,"2,537.81 ns",266.03 ns,700.0 ns,0.0000 ns,0.0000 ns,"3,450.0 ns","10,300.0 ns","505,836.6",-87.5172 ns,91.00,3.941,3.304,1.2824,1,*,No,"2,890 B",0.0000
ToConcurrent,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,64,"7,898.5 ns",22.04 ns,18.41 ns,5.10 ns,"7,899.2 ns","7,869.2345 ns","7,885.0502 ns","7,913.0 ns","7,929.3 ns","126,607.1",3.9475 ns,13.00,1.753,2.000,-0.0395,6,*,No,"2,641 B",0.0000
ToConcurrent,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,128,"20,310.9 ns",118.46 ns,105.01 ns,28.07 ns,"20,328.0 ns","20,123.3078 ns","20,251.2016 ns","20,384.3 ns","20,457.5 ns","49,234.5",-7.0326 ns,14.00,1.991,2.000,-0.4660,10,*,No,"2,639 B",0.0000
