Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Code Size,Exceptions
AddFirst,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,64,"14,015.7 ns","1,255.7 ns","3,479.4 ns",368.8 ns,"14,100.0 ns","3,900.0000 ns","11,800.0 ns","15,900.0 ns","22,800.0 ns","71,348.4",-139.9 ns,89.00,3.161,2.323,0.0468,8,*,No,526 B,0.0000
AddFirst,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,128,"24,048.0 ns","2,782.5 ns","8,116.8 ns",819.9 ns,"25,600.0 ns","4,700.0000 ns","16,400.0 ns","30,150.0 ns","49,500.0 ns","41,583.6",-361.0 ns,98.00,3.026,3.533,0.0996,10,*,No,"2,326 B",0.0000
AddFirst,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,256,"17,985.0 ns","2,693.4 ns","7,941.5 ns",794.1 ns,"21,850.0 ns","3,500.0000 ns","9,800.0 ns","24,100.0 ns","36,200.0 ns","55,601.9",-347.1 ns,100.00,1.703,3.547,-0.1164,10,*,No,"2,510 B",0.0000
AddFirst,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,512,"15,883.0 ns","3,140.0 ns","9,258.3 ns",925.8 ns,"13,550.0 ns","2,700.0000 ns","7,450.0 ns","23,575.0 ns","43,400.0 ns","62,960.4",-412.9 ns,100.00,2.221,4.000,0.3856,10,*,No,"2,510 B",0.0000
AddFirst,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,1024,"22,538.8 ns","2,423.3 ns","7,068.8 ns",714.1 ns,"24,350.0 ns","3,000.0000 ns","19,175.0 ns","27,250.0 ns","35,000.0 ns","44,368.0",-308.0 ns,98.00,3.010,2.389,-0.8885,10,*,No,"2,510 B",0.0000
AddFirst,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,2048,"11,624.0 ns","2,737.7 ns","8,072.2 ns",807.2 ns,"7,750.0 ns","3,700.0000 ns","5,800.0 ns","19,425.0 ns","34,800.0 ns","86,028.9",-353.6 ns,100.00,2.615,2.607,1.0337,6,*,No,"2,510 B",0.0000
AddFirst,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,4096,"19,994.0 ns","2,688.6 ns","7,927.5 ns",792.7 ns,"23,800.0 ns","9,200.0000 ns","11,375.0 ns","26,200.0 ns","34,900.0 ns","50,015.0",-346.4 ns,100.00,1.468,3.875,-0.0805,10,*,No,"2,510 B",0.0000
AddFirst,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,8192,"29,835.8 ns","2,788.7 ns","8,001.2 ns",820.9 ns,"30,800.0 ns","13,200.0000 ns","24,000.0 ns","33,450.0 ns","46,800.0 ns","33,516.8",-363.0 ns,95.00,2.551,3.106,-0.0962,10,*,No,"2,510 B",0.0000
AddLast,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,64,"15,451.1 ns","1,663.3 ns","4,691.4 ns",489.1 ns,"14,950.0 ns","6,300.0000 ns","12,300.0 ns","17,925.0 ns","29,200.0 ns","64,720.4",-198.6 ns,92.00,3.155,2.000,0.5620,10,*,No,524 B,0.0000
AddLast,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,128,"27,432.3 ns","3,139.9 ns","9,208.8 ns",925.5 ns,"28,300.0 ns","3,400.0000 ns","21,000.0 ns","33,850.0 ns","50,500.0 ns","36,453.3",-413.3 ns,99.00,2.587,3.091,-0.1553,10,*,No,524 B,0.0000
