Method,Count,Mean,Allocated
'GenerateHashCode: Record',64,"1,683.54",0 B
'GenerateHashCode: Record',128,"3,706.18",0 B
'GenerateHashCode: Record',256,"8,077.50",0 B
'GenerateHashCode: Record',512,"17,862.64",0 B
'GenerateHashCode: Record',1024,"45,808.31",0 B
'GenerateHashCode: Record',2048,"92,973.89",0 B
'GenerateHashCode: Record',4096,"194,659.85",0 B
'GenerateHashCode: Record',8192,"387,674.64",0 B
'GenerateHashCode: Ref',64,"1,666.78",0 B
'GenerateHashCode: Ref',128,"3,685.43",0 B
'GenerateHashCode: Ref',256,"8,118.41",0 B
'GenerateHashCode: Ref',512,"16,427.65",0 B
'GenerateHashCode: Ref',1024,"43,143.27",0 B
'GenerateHashCode: Ref',2048,"88,262.77",0 B
'GenerateHashCode: Ref',4096,"188,042.25",0 B
'GenerateHashCode: Ref',8192,"380,534.34",0 B
'GenerateHashCode: Val',64,"1,531.85",0 B
'GenerateHashCode: Val',128,"3,220.99",0 B
'GenerateHashCode: Val',256,"6,714.12",0 B
'GenerateHashCode: Val',512,"14,443.14",0 B
'GenerateHashCode: Val',1024,"33,973.50",0 B
'GenerateHashCode: Val',2048,"68,234.06",0 B
'GenerateHashCode: Val',4096,"142,005.39",0 B
'GenerateHashCode: Val',8192,"295,182.97",0 B
'Index []: Compare with IndexAtLooped-Half Count',64,2.2623,0 B
'Index []: Compare with IndexAtLooped-Half Count',128,2.1017,0 B
'Index []: Compare with IndexAtLooped-Half Count',256,2.2024,0 B
'Index []: Compare with IndexAtLooped-Half Count',512,2.0307,0 B
'Index []: Compare with IndexAtLooped-Half Count',1024,2.0199,0 B
'Index []: Compare with IndexAtLooped-Half Count',2048,2.2059,0 B
'Index []: Compare with IndexAtLooped-Half Count',4096,2.1856,0 B
'Index []: Compare with IndexAtLooped-Half Count',8192,2.0964,0 B
'IndexAtLooped: Half Count',64,2.6348,0 B
'IndexAtLooped: Half Count',128,2.4301,0 B
'IndexAtLooped: Half Count',256,2.5122,0 B
'IndexAtLooped: Half Count',512,2.5675,0 B
'IndexAtLooped: Half Count',1024,2.4647,0 B
'IndexAtLooped: Half Count',2048,2.5769,0 B
'IndexAtLooped: Half Count',4096,2.5685,0 B
'IndexAtLooped: Half Count',8192,3.2769,0 B
'IsNotEmpty: With Count',64,0.2546,0 B
'IsNotEmpty: With Count',128,0.0003,0 B
'IsNotEmpty: With Count',256,0.2551,0 B
'IsNotEmpty: With Count',512,0.2581,0 B
'IsNotEmpty: With Count',1024,0.2552,0 B
'IsNotEmpty: With Count',2048,0.0147,0 B
'IsNotEmpty: With Count',4096,0.0205,0 B
'IsNotEmpty: With Count',8192,0.0195,0 B
'IsNotEmpty: With Predicate',64,7.904,0 B
'IsNotEmpty: With Predicate',128,7.5336,0 B
'IsNotEmpty: With Predicate',256,8.4939,0 B
'IsNotEmpty: With Predicate',512,7.6649,0 B
'IsNotEmpty: With Predicate',1024,7.5689,0 B
'IsNotEmpty: With Predicate',2048,7.6684,0 B
'IsNotEmpty: With Predicate',4096,7.5594,0 B
'IsNotEmpty: With Predicate',8192,9.4868,0 B
