Method,Categories,Mean,Allocated
'Clone: PersonRecord*',,24.0634,96 B
'ComputeSha256Hash: Person-ref',,"5,994.19",3608 B
'ComputeSha256Hash: PersonRecord',,"6,252.75",3752 B
'DisposeFields: DataTable',Ref Type,"1,996.60",4736 B
'FastBinaryClone: Collection<ref>',"Serialization,JSON","3,589,757.94",2435115 B
'FastBinaryClone: Person - ref',"Serialization,JSON","3,090.62",2464 B
'FastBinaryClone: Person - val',"Serialization,JSON","3,143.11",0 B
'FastBinaryClone: PersonRecord',"Serialization,JSON","2,345.44",0 B
'FastClone: Person + JsonSerializerOptions',"Serialization,JSON","10,320.64",5322 B
'FastClone: Person',"Serialization,JSON","8,094.86",4600 B
'FromJson: JsonTypeInfo',,"5,536.65",2576 B
'HasProperty: Person-ref',,13.9895,0 B
'HasProperty: PersonRecord',,11.1176,0 B
'IsNotNull: Person-ref',,0.0165,0 B
'IsNotNull: PersonRecord',,0,0 B
'IsNull: Person-ref',,0.2256,0 B
'IsNull: PersonRecord',,0.019,0 B
'PersonRecord: Duplication with new ID',,22.8512,96 B
'PersonRecord: ToString()',,"46,645.46",65244 B
'PropertiesToDictionary: Person-ref-Ignore Nulls',,"37,601.63",32504 B
'PropertiesToDictionary: Person-ref-With Nulls',,"37,677.47",32504 B
'PropertiesToDictionary: PersonRecord-Ignore Nulls',,"38,432.11",32827 B
'PropertiesToDictionary: PersonRecord-With Nulls',,"38,130.78",32827 B
'PropertiesToString: Person-ref-Ignore Nulls',,"45,002.79",57665 B
'PropertiesToString: Person-ref-With Nulls',,"45,156.94",62321 B
'PropertiesToString: PersonRecord-Ignore Nulls',,"45,471.81",60660 B
'PropertiesToString: PersonRecord-With Nulls',,"45,335.95",62748 B
'StripNull: Person',,"46,736.55",64737 B
'Testing Param for Null: != null',Ref Type,6.1789,24 B
'Testing Param for Null: Validate.TryValidateNull()',Ref Type,6.1406,21 B
'ToJson: Person - JsonSerializerOptions',"Serialization,JSON","1,380.97",1904 B
'ToJson: Person + JsonTypeInfo',"Serialization,JSON","1,167.24",1536 B
'ToJson: Person',"Serialization,JSON","1,356.46",1936 B
'ToJson: PersonRecord',"Serialization,JSON","1,426.63",1984 B
'TryDispose: Person',Ref Type,435.0516,2920 B
FastHashCode,**NEW**,1.1675,0 B
FieldsToDictionary,,"10,082.84",14960 B
FromJson,,"5,524.25",2608 B
InitializeFields,,200.7589,520 B
string.GetHashCode(),"**NEW**,**FOR COMPARISON**",637.6285,0 B
