Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Rank,Baseline,Completed Work Items,Lock Contentions,Code Size,Exceptions,Gen0,Gen1,Gen2,Allocated
'IsNotEmpty: With Predicate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,64,51.9124 ns,0.5567 ns,0.5207 ns,0.1345 ns,52.0501 ns,50.8905 ns,51.6476 ns,52.2645 ns,52.8654 ns,"19,263,226.1",7.433 ns,15.00,2,No,0.0000,0.0000,"1,434 B",0.0000,0.0044,0.0001,0.0001,200 B
'IsNotEmpty: With Predicate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,128,58.6518 ns,1.2018 ns,2.9026 ns,0.3494 ns,58.8910 ns,52.5907 ns,55.8576 ns,60.9644 ns,64.3492 ns,"17,049,774.9",34.325 ns,69.00,3,No,0.0000,0.0000,"1,432 B",0.0000,0.0029,0.0002,0.0002,216 B
'IsNotEmpty: With Predicate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,256,58.7544 ns,1.1526 ns,1.1320 ns,0.2830 ns,59.1293 ns,56.1510 ns,58.5556 ns,59.3823 ns,60.0582 ns,"17,019,987.9",7.859 ns,16.00,3,No,0.0000,0.0000,"1,432 B",0.0000,0.0054,0.0001,0.0001,232 B
'IsNotEmpty: With Predicate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,512,62.8840 ns,1.2889 ns,3.3729 ns,0.3771 ns,61.5877 ns,58.2848 ns,59.6375 ns,66.1970 ns,68.6752 ns,"15,902,286.4",39.811 ns,80.00,3,No,0.0000,0.0000,"1,432 B",0.0000,0.0025,0.0000,0.0000,0 B
'IsNotEmpty: With Predicate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,1024,76.7593 ns,1.5483 ns,3.7687 ns,0.4504 ns,76.1223 ns,72.0214 ns,73.0287 ns,80.4717 ns,82.7788 ns,"13,027,731.0",34.775 ns,70.00,4,No,0.0000,0.0000,"1,528 B",0.0000,0.0087,0.0000,0.0000,264 B
'IsNotEmpty: With Predicate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,2048,73.2196 ns,1.4893 ns,4.2971 ns,0.4386 ns,73.9592 ns,67.7341 ns,68.9790 ns,77.4108 ns,79.1781 ns,"13,657,552.5",47.781 ns,96.00,4,No,0.0000,0.0000,"1,432 B",0.0000,0.0093,0.0000,0.0000,280 B
'IsNotEmpty: With Predicate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,4096,76.3193 ns,1.5303 ns,3.0563 ns,0.4366 ns,76.2993 ns,71.6943 ns,73.5072 ns,78.5213 ns,81.7343 ns,"13,102,841.8",24.282 ns,49.00,4,No,0.0000,0.0000,"1,428 B",0.0000,0.0023,0.0000,0.0000,296 B
'IsNotEmpty: With Predicate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,8192,84.0625 ns,1.6952 ns,2.8785 ns,0.4732 ns,84.8878 ns,79.1885 ns,80.6335 ns,86.6723 ns,88.6853 ns,"11,895,914.5",18.263 ns,37.00,5,No,0.0000,0.0000,"1,428 B",0.0000,0.0101,0.0000,0.0000,312 B
IsEmpty,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,64,0.3205 ns,0.0148 ns,0.0138 ns,0.0036 ns,0.3178 ns,0.2999 ns,0.3117 ns,0.3301 ns,0.3446 ns,"3,120,043,702.7",7.498 ns,15.00,1,No,0.0000,0.0000,87 B,0.0000,0.0000,0.0000,0.0000,0 B
IsEmpty,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,128,0.2935 ns,0.0110 ns,0.0103 ns,0.0027 ns,0.2911 ns,0.2810 ns,0.2856 ns,0.2994 ns,0.3173 ns,"3,407,018,648.3",7.499 ns,15.00,1,No,0.0000,0.0000,87 B,0.0000,0.0000,0.0000,0.0000,0 B
