Method,Mean,Allocated
'DefaultIfNull + Default Value: Null Test',1.8879,0 B
'DefaultIfNull + Default Value',1.7329,0 B
'DefaultIfNullOrEmpty + Default Value: Null Test',1.7587,0 B
'DefaultIfNullOrEmpty + Default Value',1.9972,0 B
'Format: FastFormat',109.2912,0 B
'Format: string.Format()',88.6104,0 B
'HasValue: Length',2.2357,0 B
'HasValue: Min & Max Count',0.0192,0 B
'HasValue: String',0.0698,0 B
'Parse Url: Uri',475.0554,0 B
'Split: With Count',404.6824,2104 B
'ToByteArray: ASCII',160.3596,1000 B
'ToByteArray: BigEndianUnicode',"2,935.20",1968 B
'ToByteArray: Default',269.4363,1000 B
'ToByteArray: Latin1',357.0938,1144 B
'ToByteArray: Unicode',432.1771,1968 B
'ToByteArray: UTF32',"5,134.10",4128 B
'ToByteArray: UTF8',274.5097,804 B
CombineToString,464.7413,2448 B
ComputeHash,"5,220.23",2288 B
Concat,526.338,0 B
ContainsAny,56.6564,24 B
DefaultIfNull,1.6178,0 B
DefaultIfNullOrEmpty,1.7558,0 B
DelimitedStringToArray,"1,277.29",3224 B
EqualsIgnoreCase,6.888,0 B
EqualsOrBothNullOrEmpty,0.2282,0 B
Extract,26.6938,244 B
FastIsNullOrEmpty,0.328,0 B
FastParseUrl,73.0981,0 B
FastReplace,31.576,48 B
FromBase64,134.9097,208 B
HasValue,0.0002,0 B
HasWhitespace,0.6166,0 B
Indent,277.7806,1984 B
IsCreditCardNumber,20.0778,0 B
IsCurrencyCode,23.5382,0 B
IsDomainAddress,41.5076,0 B
IsEmailAddress,"2,431.78",0 B
IsEmpty,0,0 B
IsFirstLastName,64.2779,0 B
IsGuid,197.0424,96 B
IsISBN,53.8665,0 B
IsMacAddress,51.7987,0 B
IsNotEmpty,0,0 B
IsOneToSevenAlpha,27.1643,0 B
IsScientific,73.8605,0 B
IsStringSHA1Hash,327.8877,0 B
IsUrl,23.127,0 B
IsValidString,"5,572.19",0 B
ReplaceEllipsisWithPeriod,32.8573,224 B
Split,589.4866,2448 B
SplitRemoveEmpty,518.4814,0 B
StartsWithOrdinal,0.0147,0 B
StartsWithOrdinalIgnoreCase,0.0165,0 B
SubstringTrim,21.2859,0 B
ToBase64,600.0614,3608 B
ToBase64Bytes,32.162,96 B
ToByteArrayFromBase64,81.9981,176 B
ToTitleCase,72.6783,144 B
ToTrimmed,251.2501,1960 B
