Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Rank,Baseline,Gen0,Exceptions,Completed Work Items,Lock Contentions,Code Size,Gen1,Gen2,Allocated
'ComputeHash: SHA256',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Strings,2,"1,391.6575 ns",9.7307 ns,9.1021 ns,2.3502 ns,"1,390.2397 ns","1,380.0310 ns","1,385.6320 ns","1,395.4271 ns","1,410.0067 ns","718,567.6",6.325 ns,15.00,36,No,0.0534,0.0000,0.0000,0.0000,"7,335 B",0.0019,0.0019,0 B
'ComputeHash: SHA256',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Strings,4,"1,966.4891 ns",20.3436 ns,19.0294 ns,4.9134 ns,"1,965.4644 ns","1,941.0912 ns","1,953.4609 ns","1,981.3932 ns","2,007.0694 ns","508,520.5",5.043 ns,15.00,38,No,0.0496,0.0000,0.0000,0.0000,"7,326 B",0.0000,0.0000,1544 B
'ComputeHash: SHA256',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Strings,8,"2,950.3089 ns",14.7447 ns,13.7922 ns,3.5611 ns,"2,946.5498 ns","2,928.4544 ns","2,942.5253 ns","2,961.6102 ns","2,970.4569 ns","338,947.6",5.719 ns,15.00,41,No,0.0572,0.0000,0.0000,0.0000,"7,301 B",0.0000,0.0000,1768 B
'ComputeHash: SHA256',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Strings,16,"4,778.8680 ns",23.1311 ns,19.3156 ns,5.3572 ns,"4,778.6812 ns","4,747.5204 ns","4,770.7397 ns","4,785.8208 ns","4,821.5561 ns","209,254.6",3.821 ns,13.00,45,No,0.0687,0.0000,0.0000,0.0000,"7,300 B",0.0000,0.0000,2224 B
'ComputeHash: SHA256',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Strings,32,"8,310.1429 ns",78.8282 ns,65.8252 ns,18.2566 ns,"8,311.2190 ns","8,202.2346 ns","8,274.1768 ns","8,358.1688 ns","8,408.4862 ns","120,334.9",-2.628 ns,13.00,49,No,0.0916,0.0000,0.0000,0.0000,"7,300 B",0.0000,0.0000,3136 B
'ComputeHash: SHA256',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Strings,64,"15,608.1099 ns",159.4913 ns,149.1883 ns,38.5202 ns,"15,619.7876 ns","15,405.6519 ns","15,470.4895 ns","15,683.4167 ns","15,857.0435 ns","64,069.3",-11.760 ns,15.00,51,No,0.1526,0.0000,0.0000,0.0000,"7,300 B",0.0000,0.0000,4960 B
'ComputeHash: SHA256',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Strings,128,"29,950.2036 ns",145.8228 ns,136.4028 ns,35.2190 ns,"29,954.5334 ns","29,732.2647 ns","29,900.3677 ns","30,029.2374 ns","30,190.8249 ns","33,388.8",-10.110 ns,15.00,52,No,0.3662,0.0000,0.0000,0.0000,"7,293 B",0.0305,0.0305,0 B
'ComputeHash: SHA256',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Strings,256,"58,514.2094 ns",280.8312 ns,262.6897 ns,67.8262 ns,"58,524.0173 ns","58,151.3550 ns","58,299.2798 ns","58,675.6073 ns","58,939.7095 ns","17,089.9",-26.413 ns,15.00,53,No,0.4883,0.0000,0.0000,0.0000,"7,300 B",0.0000,0.0000,15904 B
'Split: Char Separator ',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"**FOR COMPARISON**,Strings",2,134.4248 ns,2.6676 ns,4.7416 ns,0.7497 ns,136.1480 ns,127.7488 ns,129.9313 ns,137.5335 ns,143.4539 ns,"7,439,101.5",19.625 ns,40.00,23,No,0.0196,0.0000,0.0000,0.0000,"7,147 B",0.0000,0.0000,448 B
'Split: Char Separator ',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"**FOR COMPARISON**,Strings",4,209.6529 ns,3.3649 ns,3.1475 ns,0.8127 ns,208.2638 ns,204.5155 ns,207.5398 ns,211.7532 ns,215.8509 ns,"4,769,788.1",7.094 ns,15.00,25,No,0.0153,0.0000,0.0000,0.0000,"7,160 B",0.0005,0.0005,752 B
