Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Rank,Baseline,Gen0,Completed Work Items,Lock Contentions,Exceptions,Code Size,Gen1,Gen2,Allocated
'GenerateAddress: Ref',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"12,023.53 ns",68.561 ns,64.132 ns,16.559 ns,"11,899.11 ns","11,976.18 ns","12,033.90 ns","12,069.68 ns","12,120.25 ns","83,170.2",-0.7794 ns,15.00,22,No,0.1068,0.0000,0.0000,0.0000,NA,0.0000,0.0000,3226 B
'GenerateCharacter: Min and Max Char',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,72.51 ns,0.520 ns,0.461 ns,0.123 ns,71.87 ns,72.26 ns,72.36 ns,72.79 ns,73.45 ns,"13,791,553.2",6.9384 ns,14.00,1,No,0.0000,0.0000,0.0000,0.0000,390 B,0.0000,0.0000,0 B
'GeneratePerson: Record',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"56,418.32 ns",544.971 ns,509.766 ns,131.621 ns,"55,678.97 ns","56,071.44 ns","56,268.84 ns","56,768.54 ns","57,340.38 ns","17,724.7",-58.3106 ns,15.00,25,No,1.5869,0.0000,0.0000,0.0000,NA,0.0000,0.0000,49459 B
'GeneratePerson: Ref',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"57,773.85 ns",703.349 ns,657.913 ns,169.873 ns,"57,032.34 ns","57,254.36 ns","57,664.99 ns","58,122.25 ns","59,135.27 ns","17,308.9",-77.4363 ns,15.00,25,No,1.5869,0.0000,0.0000,0.0000,NA,0.0000,0.0000,49605 B
'GeneratePerson: Val',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"60,347.45 ns",437.428 ns,409.171 ns,105.647 ns,"59,849.14 ns","60,001.64 ns","60,327.81 ns","60,608.90 ns","61,131.24 ns","16,570.7",-45.3237 ns,15.00,26,No,1.5869,0.0000,0.0000,0.0000,NA,0.0000,0.0000,50229 B
'GenerateRandomFileName: With Path',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"1,050.80 ns",5.995 ns,5.608 ns,1.448 ns,"1,042.14 ns","1,047.09 ns","1,050.32 ns","1,053.49 ns","1,062.80 ns","951,652.3",6.7760 ns,15.00,9,No,0.0095,0.0000,0.0000,0.0000,"5,231 B",0.0000,0.0000,296 B
'GenerateWord: MIN AND MAX CHAR',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,780.44 ns,5.903 ns,4.929 ns,1.367 ns,774.35 ns,776.94 ns,779.26 ns,783.59 ns,792.46 ns,"1,281,321.4",5.8165 ns,13.00,7,No,0.0010,0.0000,0.0000,0.0000,"4,162 B",0.0000,0.0000,48 B
'GenerateWord: MIN AND MAX LENGTH + CHAR',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"4,331.53 ns",25.918 ns,22.976 ns,6.141 ns,"4,298.10 ns","4,316.81 ns","4,333.03 ns","4,340.40 ns","4,375.25 ns","230,865.3",3.9297 ns,14.00,16,No,0.0000,0.0000,0.0000,0.0000,"4,605 B",0.0000,0.0000,134 B
'GenerateWord: MIN AND MAX LENGTH',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"5,259.04 ns",27.916 ns,23.311 ns,6.465 ns,"5,226.91 ns","5,239.83 ns","5,253.13 ns","5,269.43 ns","5,299.44 ns","190,148.6",3.2673 ns,13.00,18,No,0.0000,0.0000,0.0000,0.0000,"4,141 B",0.0000,0.0000,134 B
GenerateByteArray,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,230.71 ns,1.773 ns,1.658 ns,0.428 ns,228.73 ns,229.35 ns,230.51 ns,231.73 ns,234.43 ns,"4,334,411.4",7.2859 ns,15.00,5,No,0.0041,0.0000,0.0000,0.0000,562 B,0.0000,0.0000,128 B
GenerateCharacter,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,90.83 ns,0.438 ns,0.389 ns,0.104 ns,90.07 ns,90.58 ns,90.80 ns,91.17 ns,91.41 ns,"11,009,992.8",6.9481 ns,14.00,3,No,0.0000,0.0000,0.0000,0.0000,393 B,0.0000,0.0000,0 B
GenerateCoordinate,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,233.96 ns,1.089 ns,1.019 ns,0.263 ns,232.14 ns,233.24 ns,234.19 ns,234.69 ns,235.43 ns,"4,274,287.6",7.3685 ns,15.00,5,No,0.0010,0.0000,0.0000,0.0000,918 B,0.0000,0.0000,32 B
GenerateDecimal,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,143.61 ns,2.242 ns,2.097 ns,0.542 ns,141.30 ns,142.16 ns,142.55 ns,145.11 ns,147.99 ns,"6,963,514.4",7.2292 ns,15.00,4,No,0.0000,0.0000,0.0000,0.0000,"3,738 B",0.0000,0.0000,0 B
GenerateDomainExtension,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"1,765.99 ns",34.220 ns,43.277 ns,9.024 ns,"1,655.40 ns","1,743.84 ns","1,766.74 ns","1,792.07 ns","1,854.92 ns","566,254.5",6.9880 ns,23.00,13,No,0.4368,0.0000,0.0000,0.0000,"2,864 B",0.0134,0.0019,0 B
GenerateEmailAddress,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"4,644.46 ns",36.280 ns,32.162 ns,8.596 ns,"4,590.86 ns","4,622.53 ns","4,645.79 ns","4,654.87 ns","4,706.84 ns","215,310.1",2.7022 ns,14.00,17,No,0.4425,0.0000,0.0000,0.0000,"7,704 B",0.0153,0.0153,13001 B
