Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Exceptions,Code Size
'GeneratePersonRefCollection: Person',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,,64,"1,611,541.4 ns","6,645.59 ns","6,216.29 ns","1,605.04 ns","1,599,652.9 ns","1,608,359.0 ns","1,611,773.2 ns","1,616,700.1 ns","1,620,884.0 ns",620.524,-795.0197 ns,15.00,2.035,2.000,-0.2657,30,*,No,0.0000,NA
'GeneratePersonRefCollection: Person',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,,128,"3,128,596.7 ns","29,307.49 ns","27,414.25 ns","7,078.33 ns","3,086,234.8 ns","3,110,896.1 ns","3,124,667.6 ns","3,146,056.4 ns","3,193,166.4 ns",319.632,"-3,531.6643 ns",15.00,2.829,2.000,0.6017,34,*,No,0.0000,NA
'GeneratePersonRefCollection: Person',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,,256,"6,360,633.2 ns","60,425.31 ns","56,521.87 ns","14,593.88 ns","6,272,504.7 ns","6,318,948.0 ns","6,353,593.8 ns","6,397,811.7 ns","6,483,665.6 ns",157.217,"-7,289.4421 ns",15.00,2.264,2.000,0.4076,37,*,No,0.0000,NA
'GeneratePersonRefCollection: Person',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,,512,"12,682,999.8 ns","71,424.66 ns","63,316.10 ns","16,921.94 ns","12,504,209.4 ns","12,683,008.6 ns","12,690,185.9 ns","12,713,617.2 ns","12,767,681.2 ns",78.846,"-8,453.9704 ns",14.00,4.979,2.000,-1.4748,41,*,No,0.0000,NA
'GeneratePersonRefCollection: Person',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,,1024,"25,645,534.2 ns","297,449.62 ns","278,234.56 ns","71,839.86 ns","25,301,150.0 ns","25,402,306.2 ns","25,604,487.5 ns","25,841,831.2 ns","26,114,909.4 ns",38.993,"-35,912.4276 ns",15.00,1.570,2.000,0.2472,44,*,No,0.0000,NA
'GeneratePersonRefCollection: Person',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,,2048,"52,495,853.2 ns","895,804.73 ns","794,107.56 ns","212,234.17 ns","51,438,111.1 ns","52,037,216.7 ns","52,446,888.9 ns","52,745,825.0 ns","54,059,066.7 ns",19.049,"-106,110.0862 ns",14.00,2.418,2.000,0.5802,47,*,No,0.0000,NA
'GeneratePersonRefCollection: Person',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,,4096,"104,260,597.3 ns","1,355,019.80 ns","1,267,486.37 ns","327,263.57 ns","102,493,220.0 ns","103,096,630.0 ns","104,332,060.0 ns","105,091,980.0 ns","106,440,520.0 ns",9.591,"-163,624.2863 ns",15.00,1.599,2.000,0.2233,49,*,No,0.0000,NA
'GeneratePersonRefCollection: Person',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,,8192,"214,492,953.3 ns","3,314,452.78 ns","3,100,341.19 ns","800,504.65 ns","209,422,600.0 ns","212,583,125.0 ns","213,990,600.0 ns","216,580,325.0 ns","220,156,950.0 ns",4.662,"-400,244.8264 ns",15.00,1.883,2.000,0.1037,53,*,No,0.0000,557 B
'OrderBy(): Record',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Record Type,64,"1,780.7 ns",12.70 ns,11.88 ns,3.07 ns,"1,759.8 ns","1,772.0 ns","1,781.5 ns","1,790.8 ns","1,797.2 ns","561,568.033",5.9659 ns,15.00,1.629,2.000,-0.1754,1,*,No,0.0000,"2,897 B"
'OrderBy(): Record',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Record Type,128,"3,701.2 ns",19.89 ns,17.64 ns,4.71 ns,"3,671.8 ns","3,690.1 ns","3,704.2 ns","3,715.1 ns","3,726.1 ns","270,179.165",4.6433 ns,14.00,1.711,2.000,-0.2202,2,*,No,0.0000,"2,897 B"
